Time[s];I[A]
0;0
0.00216;0
1.00008;0
2.00016;0
2.99988;0
3.99996;0
5.00004;0
6.00012;0
6.99984;0
7.99992;0
9;0
10.00008;0
11.00016;0
11.99988;0
12.99996;0
14.00004;0
15.00012;0
15.99984;0
16.99992;0
18;0
19.00008;0
20.00016;0
20.00196;0
20.00592;0
20.0106;0
20.01276;0
20.01672;0
20.02104;0
20.0232;0
20.02716;0
20.03184;0
20.03364;0
20.03796;0
20.04228;0
20.04444;0
21.04236;0
22.04244;0
23.04252;0
24.04224;0
25.04232;0
26.0424;0
27.04248;0
28.04256;0
29.04228;0
30.04236;0
31.04244;0
32.04252;0
33.04224;0
34.04232;0
35.0424;0
36.04248;0
37.04256;0
38.04228;0
39.04236;0
40.04244;0
41.04252;0
42.04224;0
43.04232;0
44.0424;0
45.04248;0
46.04256;0
47.04228;0
48.04236;0
49.04244;0
50.04252;0
51.04224;0
52.04232;0
53.0424;0
54.04248;0
55.04256;0
56.04228;0
57.04236;0
58.04244;0
59.04252;0
60.04224;0
61.04232;0
62.0424;0
63.04248;0
63.32436;0
63.32508;0
63.57708;-0.007785724
63.57888;11.29903184
64.57716;16.98844959
65.57688;16.98844959
66.57696;16.98844959
67.57704;16.98844959
68.57712;16.98650316
69.57684;16.98844959
70.57692;16.99234245
71.577;16.99039602
72.57708;16.99234245
73.57716;16.99234245
74.57688;16.99428888
75.57696;16.99234245
76.57704;16.99234245
77.57712;16.99234245
78.5772;16.99234245
79.57692;16.99234245
80.577;16.99234245
81.57708;16.99234245
82.57716;16.99039602
83.57688;16.99039602
84.57696;16.99039602
85.57704;16.99234245
86.57712;16.99234245
87.5772;16.99234245
88.57692;16.99039602
89.577;16.99234245
90.57708;16.99234245
91.57716;16.99234245
92.57688;16.99039602
93.57696;16.99039602
94.57704;16.99039602
95.57712;16.99234245
96.5772;16.99234245
97.57692;16.99039602
98.577;16.99039602
99.57708;16.99234245
100.57716;16.99234245
101.57688;16.99234245
102.57696;16.99234245
103.57704;16.99428888
104.57712;16.99234245
105.57684;16.99428888
106.57692;16.99234245
107.577;16.99234245
108.57708;16.99039602
109.57716;16.99234245
110.57688;16.99234245
111.57696;16.99234245
112.57704;16.99234245
113.57712;16.99428888
114.5772;16.99234245
115.57692;16.99428888
116.577;16.99234245
117.57708;16.99039602
118.57716;16.99234245
119.57688;16.99234245
120.57696;16.99234245
121.57704;16.99234245
122.57712;16.99428888
123.57684;16.99234245
124.57692;16.99234245
125.577;16.99234245
126.57708;16.99234245
127.57716;16.99234245
128.57688;16.99234245
129.57696;16.99234245
130.57704;16.99234245
131.57712;16.99234245
132.57684;16.99234245
133.57692;16.99234245
134.577;16.99234245
135.57708;16.99234245
136.57716;16.99234245
137.57688;16.99428888
138.57696;16.99234245
139.57704;16.99234245
140.57712;16.99234245
141.5772;16.99234245
142.57692;16.99234245
143.577;16.99234245
144.57708;16.99234245
145.57716;16.99234245
146.57688;16.99234245
147.57696;16.99234245
148.57704;16.99234245
149.57712;16.99234245
150.5772;16.99234245
151.57692;16.99234245
152.577;16.99234245
153.57708;16.99234245
154.57716;16.99234245
155.57688;16.99234245
156.57696;16.99234245
157.57704;16.99234245
158.57712;16.99234245
159.57684;16.99428888
160.57692;16.99428888
161.577;16.99234245
162.57708;16.99234245
163.57716;16.99234245
164.57688;16.99234245
165.57696;16.99234245
166.57704;16.99234245
167.57712;16.99234245
168.5772;16.99234245
169.57692;16.99234245
170.577;16.99234245
171.57708;16.99234245
172.57716;16.99234245
173.57688;16.99234245
174.57696;16.99234245
175.57704;16.99428888
176.57712;16.99428888
177.5772;16.99234245
178.57692;16.99234245
179.577;16.99234245
180.57708;16.99234245
181.57716;16.99234245
182.57688;16.99234245
183.57696;16.99234245
184.57704;16.99234245
185.57712;16.99234245
186.5772;16.99428888
187.57692;16.99234245
188.577;16.99234245
189.57708;16.99234245
190.57716;16.99234245
191.57688;16.99039602
192.57696;16.99234245
193.57704;16.99234245
194.57712;16.99234245
195.57684;16.99234245
196.57692;16.99234245
197.577;16.99039602
198.57708;16.99234245
199.57716;16.99234245
200.57688;16.99234245
201.57696;16.99039602
202.57704;16.99039602
203.57712;16.99039602
204.5772;16.99234245
205.57692;16.99234245
206.577;16.99234245
207.57708;16.99039602
208.57716;16.99234245
209.57688;16.99234245
210.57696;16.99234245
211.57704;16.99234245
212.57712;16.99234245
213.5772;16.99234245
214.57692;16.99234245
215.577;16.99039602
216.57708;16.99234245
217.57716;16.99234245
218.57688;16.99039602
219.57696;16.99039602
220.57704;16.99234245
221.57712;16.99234245
222.57684;16.99234245
223.57692;16.99234245
224.577;16.99234245
225.57708;16.99234245
226.57716;16.99234245
227.57688;16.99039602
228.57696;16.99234245
229.57704;16.99039602
230.57712;16.99039602
231.5772;16.99234245
232.57692;16.99234245
233.577;16.99234245
234.57708;16.99234245
235.57716;16.99234245
236.57688;16.99039602
237.57696;16.99234245
238.57704;16.99234245
239.57712;16.99234245
240.57684;16.99428888
241.57692;16.99428888
242.577;16.99039602
243.57708;16.99234245
244.57716;16.99234245
245.57688;16.99234245
246.57696;16.99234245
247.57704;16.99234245
248.57712;16.99428888
249.5772;16.99234245
250.57692;16.99234245
251.577;16.99234245
252.57708;16.99234245
253.57716;16.99234245
254.57688;16.99234245
255.57696;16.99234245
256.57704;16.99234245
257.57712;16.99234245
258.5772;16.99234245
259.57692;16.99234245
260.577;16.99234245
261.57708;16.99234245
262.57716;16.99039602
263.57688;16.99234245
264.57696;16.99234245
265.57704;16.99428888
266.57712;16.99234245
267.5772;16.99234245
268.57692;16.99428888
269.577;16.99234245
270.57708;16.99234245
271.57716;16.99039602
272.57688;16.99234245
273.57696;16.99428888
274.57704;16.99234245
275.57712;16.99234245
276.5772;16.99039602
277.57692;16.99234245
278.577;16.99234245
279.57708;16.99428888
280.57716;16.99234245
281.57688;16.99428888
282.57696;16.99039602
283.57704;16.99234245
284.57712;16.99234245
285.5772;16.99234245
286.57692;16.99234245
287.577;16.99428888
288.57708;16.99428888
289.57716;16.99234245
290.57688;16.99234245
291.57696;16.99234245
292.57704;16.99428888
293.57712;16.99234245
294.5772;16.99234245
295.57692;16.99428888
296.577;16.99234245
297.57708;16.99234245
298.57716;16.99428888
299.57688;16.99234245
300.57696;16.99234245
301.57704;16.99428888
302.57712;16.99234245
303.57684;16.99234245
304.57692;16.99428888
305.577;16.99234245
306.57708;16.99234245
307.57716;16.99234245
308.57688;16.99234245
309.57696;16.99234245
310.57704;16.99428888
311.57712;16.99234245
312.5772;16.99428888
313.57692;16.99234245
314.577;16.99428888
315.57708;16.99234245
316.57716;16.99234245
317.57688;16.99234245
318.57696;16.99234245
319.57704;16.99234245
320.57712;16.99234245
321.5772;16.99428888
322.57692;16.99234245
323.577;16.99234245
324.57708;16.99428888
325.57716;16.99234245
326.57688;16.99234245
327.57696;16.99234245
328.57704;16.99234245
329.57712;16.99428888
330.57684;16.99234245
331.57692;16.99039602
332.577;16.99234245
333.57708;16.99234245
334.57716;16.99039602
335.57688;16.99428888
336.57696;16.99428888
337.57704;16.99234245
338.57712;16.99234245
339.57684;16.99234245
340.57692;16.99234245
341.577;16.99234245
342.57708;16.99234245
343.57716;16.99428888
344.57688;16.99428888
345.57696;16.99428888
346.57704;16.99234245
347.57712;16.99234245
348.5772;16.99234245
349.57692;16.99234245
350.577;16.99234245
351.57708;16.99234245
352.57716;16.99234245
353.57688;16.99234245
354.57696;16.99234245
355.57704;16.99234245
356.57712;16.99234245
357.5772;16.99234245
358.57692;16.99428888
359.577;16.99039602
360.57708;16.99234245
361.57716;16.99234245
362.57688;16.99428888
363.57696;16.99234245
364.57704;16.99234245
365.57712;16.99039602
366.5772;16.99234245
367.57692;16.99428888
368.577;16.99234245
369.57708;16.99234245
370.57716;16.99234245
371.57688;16.99234245
372.57696;16.99428888
373.57704;16.99234245
374.57712;16.99234245
375.5772;16.99234245
376.57692;16.99428888
377.577;16.99234245
378.57708;16.99234245
379.57716;16.99234245
380.57688;16.99234245
381.57696;16.99234245
382.57704;16.99234245
383.57712;16.99428888
384.5772;16.99234245
385.57692;16.99234245
386.577;16.99234245
387.57708;16.99234245
388.57716;16.99234245
389.57688;16.99234245
390.57696;16.99234245
391.57704;16.99234245
392.57712;16.99234245
393.5772;16.99234245
394.57692;16.99234245
395.577;16.99428888
396.57708;16.99234245
397.57716;16.99234245
398.57688;16.99428888
399.57696;16.99234245
400.57704;16.99234245
401.57712;16.99234245
402.5772;16.99234245
403.57692;16.99428888
404.577;16.99234245
405.57708;16.99234245
406.57716;16.99234245
407.57688;16.99234245
408.57696;16.99428888
409.57704;16.99234245
410.57712;16.99234245
411.5772;16.99234245
412.57692;16.99234245
413.577;16.99234245
414.57708;16.99234245
415.57716;16.99234245
416.57688;16.99234245
417.57696;16.99234245
418.57704;16.99234245
419.57712;16.99234245
420.5772;16.99234245
421.57692;16.99234245
422.577;16.99234245
423.57708;16.99234245
424.57716;16.99428888
425.57688;16.99234245
426.57696;16.99234245
427.57704;16.99234245
428.57712;16.99428888
429.5772;16.99428888
430.57692;16.99234245
431.577;16.99234245
432.57708;16.99039602
433.57716;16.99234245
434.57688;16.99234245
435.57696;16.99234245
436.57704;16.99234245
437.57712;16.99234245
438.5772;16.99428888
439.57692;16.99428888
440.577;16.99234245
441.57708;16.99234245
442.57716;16.99234245
443.57688;16.99234245
444.57696;16.99234245
445.57704;16.99234245
446.57712;16.99234245
447.57684;16.99234245
448.57692;16.99428888
449.577;16.99234245
450.57708;16.99234245
451.57716;16.99234245
452.57688;16.99234245
453.57696;16.99234245
454.57704;16.99234245
455.57712;16.99234245
456.5772;16.99234245
457.57692;16.99234245
458.577;16.99428888
459.57708;16.99428888
460.57716;16.99234245
461.57688;16.99428888
462.57696;16.99428888
463.57704;16.99234245
464.57712;16.99234245
465.57684;16.99234245
466.57692;16.99428888
467.577;16.99234245
468.57708;16.99234245
469.57716;16.99234245
470.57688;16.99234245
471.57696;16.99234245
472.57704;16.99039602
473.57712;16.99234245
474.5772;16.99428888
475.57692;16.99428888
476.577;16.99234245
477.57708;16.99234245
478.57716;16.99428888
479.57688;16.99234245
480.57696;16.99428888
481.57704;16.99234245
482.57712;16.99428888
483.5772;16.99234245
484.57692;16.99234245
485.577;16.99234245
486.57708;16.99039602
487.57716;16.99234245
488.57688;16.99234245
489.57696;16.99428888
490.57704;16.99428888
491.57712;16.99234245
492.5772;16.99234245
493.57692;16.99428888
494.577;16.99428888
495.57708;16.99234245
496.57716;16.99234245
497.57688;16.99234245
498.57696;16.99428888
499.57704;16.99234245
500.57712;16.99428888
501.57684;16.99234245
502.57692;16.99428888
503.577;16.99428888
504.57708;16.99234245
505.57716;16.99234245
506.57688;16.99234245
507.57696;16.99234245
508.57704;16.99234245
509.57712;16.99234245
510.5772;16.99234245
511.57692;16.99428888
512.577;16.99234245
513.57708;16.99234245
514.57716;16.99234245
515.57688;16.99234245
516.57696;16.99428888
517.57704;16.99234245
518.57712;16.99234245
519.57684;16.99234245
520.57692;16.99428888
521.577;16.99039602
522.57708;16.99234245
523.57716;16.99428888
524.57688;16.99234245
525.57696;16.99428888
526.57704;16.99234245
527.57712;16.99428888
528.5772;16.99234245
529.57692;16.99234245
530.577;16.99039602
531.57708;16.99234245
532.57716;16.99039602
533.57688;16.99428888
534.57696;16.99234245
535.57704;16.99234245
536.57712;16.99234245
537.5772;16.99234245
538.57692;16.99428888
539.577;16.99234245
540.57708;16.99234245
541.57716;16.99428888
542.57688;16.99234245
543.57696;16.99234245
544.57704;16.99234245
545.57712;16.99234245
546.5772;16.99234245
547.57692;16.99428888
548.577;16.99428888
549.57708;16.99428888
550.57716;16.99234245
551.57688;16.99039602
552.57696;16.99234245
553.57704;16.99234245
554.57712;16.99234245
555.5772;16.99234245
556.57692;16.99428888
557.577;16.99234245
558.57708;16.99428888
559.57716;16.99234245
560.57688;16.99234245
561.57696;16.99039602
562.57704;16.99234245
563.57712;16.99234245
564.5772;16.99234245
565.57692;16.99234245
566.577;16.99234245
567.57708;16.99428888
568.57716;16.99234245
569.57688;16.99234245
570.57696;16.99428888
571.57704;16.99234245
572.57712;16.99234245
573.5772;16.99234245
574.57692;16.99428888
575.577;16.99428888
576.57708;16.99234245
577.57716;16.99234245
578.57688;16.99234245
579.57696;16.99428888
580.57704;16.99234245
581.57712;16.99428888
582.57684;16.99234245
583.57692;16.99428888
584.577;16.99234245
585.57708;16.99234245
586.57716;16.99234245
587.57688;16.99234245
588.57696;16.99428888
589.57704;16.99428888
590.57712;16.99234245
591.57684;16.99234245
592.57692;16.99428888
593.577;16.99428888
594.57708;16.99234245
595.57716;16.99234245
596.57688;16.99234245
597.57696;16.99428888
598.57704;16.99234245
599.57712;16.99234245
600.5772;16.99234245
601.57692;16.99234245
602.577;16.99234245
603.57708;16.99234245
604.57716;16.99428888
605.57688;16.99428888
606.57696;16.99234245
607.57704;16.99234245
608.57712;16.99234245
609.5772;16.99234245
610.57692;16.99428888
611.577;16.99428888
612.57708;16.99234245
613.57716;16.99234245
614.57688;16.99234245
615.57696;16.99234245
616.57704;16.99428888
617.57712;16.99428888
618.5772;16.99234245
619.57692;16.99428888
620.577;16.99234245
621.57708;16.99234245
622.57716;16.99234245
623.57688;16.99428888
624.57696;16.99428888
625.57704;16.99234245
626.57712;16.99428888
627.5772;16.99234245
628.57692;16.99428888
629.577;16.99428888
630.57708;16.99428888
631.57716;16.99234245
632.57688;16.99234245
633.57696;16.99428888
634.57704;16.99428888
635.57712;16.99428888
636.5772;16.99428888
637.57692;16.99428888
638.577;16.99234245
639.57708;16.99428888
640.57716;16.99234245
641.57688;16.99234245
642.57696;16.99428888
643.57704;16.99428888
644.57712;16.99234245
645.57684;16.99428888
646.57692;16.99234245
647.577;16.99234245
648.57708;16.99234245
649.57716;16.99234245
650.57688;16.99234245
651.57696;16.99234245
652.57704;16.99428888
653.57712;16.99234245
654.5772;16.99234245
655.57692;16.99234245
656.577;16.99234245
657.57708;16.99234245
658.57716;16.99234245
659.57688;16.99428888
660.57696;16.99234245
661.57704;16.99234245
662.57712;16.99234245
663.5772;16.99234245
664.57692;16.99234245
665.577;16.99234245
666.57708;16.99234245
667.57716;16.99428888
668.57688;16.99234245
669.57696;16.99234245
670.57704;16.99428888
671.57712;16.99234245
672.5772;16.99234245
673.57692;16.99234245
674.577;16.99234245
675.57708;16.99234245
676.57716;16.99428888
677.57688;16.99428888
678.57696;16.99234245
679.57704;16.99234245
680.57712;16.99234245
681.5772;16.99234245
682.57692;16.99234245
683.577;16.99234245
684.57708;16.99234245
685.57716;16.99234245
686.57688;16.99234245
687.57696;16.99428888
688.57704;16.99234245
689.57712;16.99428888
690.5772;16.99234245
691.57692;16.99234245
692.577;16.99039602
693.57708;16.99428888
694.57716;16.99428888
695.57688;16.99234245
696.57696;16.99234245
697.57704;16.99234245
698.57712;16.99428888
699.5772;16.99428888
700.57692;16.99428888
701.577;16.99428888
702.57708;16.99234245
703.57716;16.99234245
704.57688;16.99428888
705.57696;16.99428888
706.57704;16.99428888
707.57712;16.99234245
708.5772;16.99234245
709.57692;16.99234245
710.577;16.99234245
711.57708;16.99428888
712.57716;16.99234245
713.57688;16.99234245
714.57696;16.99428888
715.57704;16.99428888
716.57712;16.99428888
717.57684;16.99428888
718.57692;16.99234245
719.577;16.99428888
720.57708;16.99234245
721.57716;16.99234245
722.57688;16.99428888
723.57696;16.99428888
724.57704;16.99428888
725.57712;16.99428888
726.5772;16.99234245
727.57692;16.99234245
728.577;16.99234245
729.57708;16.99234245
730.57716;16.99234245
731.57688;16.99234245
732.57696;16.99234245
733.57704;16.99234245
734.57712;16.99428888
735.5772;16.99234245
736.57692;16.99234245
737.577;16.99234245
738.57708;16.99234245
739.57716;16.99234245
740.57688;16.99234245
741.57696;16.99428888
742.57704;16.99428888
743.57712;16.99428888
744.5772;16.99428888
745.57692;16.99428888
746.577;16.99428888
747.57708;16.99428888
748.57716;16.99428888
749.57688;16.99039602
750.57696;16.99428888
751.57704;16.99234245
752.57712;16.99234245
753.5772;16.99234245
754.57692;16.99039602
755.577;16.99234245
756.57708;16.99234245
757.57716;16.99234245
758.57688;16.99234245
759.57696;16.99428888
760.57704;16.99428888
761.57712;16.99234245
762.57684;16.99234245
763.57692;16.99234245
764.577;16.99234245
765.57708;16.99428888
766.57716;16.99428888
767.57688;16.99234245
768.57696;16.99428888
769.57704;16.99234245
770.57712;16.99234245
771.5772;16.99234245
772.57692;16.99428888
773.577;16.99234245
774.57708;16.99428888
775.57716;16.99428888
776.57688;16.99234245
777.57696;16.99428888
778.57704;16.99234245
779.57712;16.99234245
780.5772;16.99234245
781.57692;16.99234245
782.577;16.99428888
783.57708;16.99428888
784.57716;16.99234245
785.57688;16.99234245
786.57696;16.99234245
787.57704;16.99428888
788.57712;16.99234245
789.5772;16.99234245
790.57692;16.99234245
791.577;16.99428888
792.57708;16.99039602
793.57716;16.99234245
794.57688;16.99234245
795.57696;16.99428888
796.57704;16.99428888
797.57712;16.99428888
798.57684;16.99234245
799.57692;16.99234245
800.577;16.99234245
801.57708;16.99234245
802.57716;16.99039602
803.57688;16.99234245
804.57696;16.99234245
805.57704;16.99234245
806.57712;16.99039602
807.5772;16.99234245
808.57692;16.99234245
809.577;16.99234245
810.57708;16.99234245
811.57716;16.99428888
812.57688;16.99234245
813.57696;16.99234245
814.57704;16.99234245
815.57712;16.99234245
816.5772;16.99234245
817.57692;16.99234245
818.577;16.99234245
819.57708;16.99428888
820.57716;16.99428888
821.57688;16.99428888
822.57696;16.99428888
823.57704;16.99234245
824.57712;16.99039602
825.5772;16.99234245
826.57692;16.99234245
827.577;16.99234245
828.57708;16.99234245
829.57716;16.99234245
830.57688;16.99234245
831.57696;16.99234245
832.57704;16.99428888
833.57712;16.99234245
834.5772;16.99234245
835.57692;16.99234245
836.577;16.99234245
837.57708;16.99234245
838.57716;16.99428888
839.57688;16.99234245
840.57696;16.99234245
841.57704;16.99428888
842.57712;16.99234245
843.5772;16.99428888
844.57692;16.99234245
845.577;16.99234245
846.57708;16.99234245
847.57716;16.99428888
848.57688;16.99234245
849.57696;16.99428888
850.57704;16.99428888
851.57712;16.99234245
852.5772;16.99234245
853.57692;16.99039602
854.577;16.99234245
855.57708;16.99428888
856.57716;16.99234245
857.57688;16.99234245
858.57696;16.99234245
859.57704;16.99234245
860.57712;16.99234245
861.57684;16.99234245
862.57692;16.99428888
863.577;16.99428888
864.57708;16.99428888
865.57716;16.99234245
866.57688;16.99234245
867.57696;16.99428888
868.57704;16.99428888
869.57712;16.99234245
870.5772;16.99234245
871.57692;16.99428888
872.577;16.99428888
873.57708;16.99428888
874.57716;16.99234245
875.57688;16.99428888
876.57696;16.99234245
877.57704;16.99234245
878.57712;16.99234245
879.5772;16.99428888
880.57692;16.99428888
881.577;16.99428888
882.57708;16.99428888
883.57716;16.99234245
884.57688;16.99428888
885.57696;16.99234245
886.57704;16.99428888
887.57712;16.99428888
888.5772;16.99234245
889.57692;16.99234245
890.577;16.99234245
891.57708;16.99428888
892.57716;16.99428888
893.57688;16.99428888
894.57696;16.99428888
895.57704;16.99234245
896.57712;16.99234245
897.5772;16.99234245
898.57692;16.99234245
899.577;16.99428888
900.57708;16.99234245
901.57716;16.99234245
902.57688;16.99234245
903.57696;16.99234245
904.57704;16.99428888
905.57712;16.99234245
906.5772;16.99234245
907.57692;16.99428888
908.577;16.99428888
909.57708;16.99234245
910.57716;16.99428888
