# Based on Cell32 drivecycle discing,
# time [s],current [A]
4050,-0.94242
4060,0.076151
4070,6.9189
4080,-0.96448
4090,0.076545
4100,1.1091
4110,1.6559
4120,1.0329
4130,1.5602
4140,0.84801
4150,2.2864
4160,1.6484
4170,1.4117
4180,1.406
4190,1.5789
4200,1.3229
4210,1.1644
4220,1.7882
4230,0.31539
4240,1.8215
4250,1.4629
4260,1.7994
4270,0.84564
4280,2.3476
4290,1.6147
4300,1.0624
4310,0.94508
4320,1.7847
4330,1.0729
4340,1.584
4350,1.2875
4360,1.1436
4370,0.84427
4380,-0.52027
4390,0.040315
4400,2.3968
4410,1.494
4420,2.6554
4430,3.037
4440,2.5292
4450,1.3985
4460,1.5389
4470,1.7597
4480,2.3764
4490,1.1152
4500,1.8248
4510,2.0473
4520,1.4795
4530,1.851
4540,2.0483
4550,1.8276
4560,1.8485
4570,0.69876
4580,1.6415
4590,1.6559
4600,1.4013
4610,1.5921
4620,1.662
4630,1.7093
4640,1.7097
4650,1.444
4660,1.1463
4670,1.2966
4680,0.32248
4690,1.3422
4700,1.6364
4710,1.2028
4720,2.1529
4730,0.6452
4740,2.1159
4750,2.12
4760,1.8969
4770,1.5309
4780,1.1847
4790,1.6929
4800,2.5957
4810,3.0393
4820,1.3509
4830,0.76176
4840,-0.76167
4850,-0.30229
4860,0.075954
4870,2.1265
4880,1.4931
4890,0.2638
4900,1.0969
4910,1.5411
4920,1.5943
4930,1.5448
4940,1.0563
4950,0.56447
4960,1.6366
4970,1.5098
4980,0.94725
4990,1.2682
5000,-0.58761
5010,2.0599
5020,1.8752
5030,1.0951
5040,-0.11504
5050,0.62531
5060,0.30436
5070,1.265
5080,2.1598
5090,2.4388
5100,1.0638
5110,1.2776
5120,1.6923
5130,0.74522
5140,0.81276
5150,0.10411
5160,3.024
5170,1.8691
5180,1.3625
5190,2.897
5200,1.9818
5210,2.1125
5220,1.1617
5230,1.7612
5240,1.1097
5250,2.2188
5260,2.4035
5270,1.6002
5280,2.3604
5290,1.6653
5300,1.6057
5310,1.8424
5320,1.8209
5330,1.6077
5340,1.0514
5350,1.6496
5360,1.4324
5370,1.3911
5380,2.2458
5390,1.8957
5400,1.7081
5410,1.7043
5420,1.2052
5430,1.2981
5440,1.0796
5450,1.2881
5460,0.80134
5470,1.1632
5480,3.8571
5490,2.2458
5500,-0.84515
5510,2.7286
5520,1.245
5530,1.3255
5540,0.32878
5550,1.777
5560,2.4199
5570,1.9652
5580,1.6888
5590,0.33744
5600,-0.10874
5610,-0.89714
5620,0.092691
5630,0.074773
5640,0.074182
5650,1.0388
5660,0.24687
5670,0.64638
5680,-0.23692
5690,0.63004
5700,0.64697
5710,1.3487
5720,0.55206
5730,0.7785
5740,0.93563
5750,-0.049078
5760,0.073985
5770,0.074576
5780,0.074379
5790,0.074379
5800,1.1217
5810,-0.56063
5820,3.6485
5830,2.8157
5840,1.2286
5850,2.4195
5860,2.0284
5870,1.7179
5880,0.8106
5890,0.76688
5900,2.0595
5910,1.2717
5920,1.1778
5930,-0.0065476
5940,-0.37495
5950,-0.14005
5960,0.19213
5970,0.074182
5980,2.5091
5990,1.5305
6000,0.82556
6010,-0.027222
6020,-0.25405
6030,0.40202
6040,2.2769
6050,-0.65416
6060,0.075364
6070,0.075364
6080,2.9684
6090,1.4358
6100,0.68005
6110,0.91791
6120,-0.40291
6130,0.044647
6140,0.59341
6150,1.2394
6160,0.54773
6170,0.54832
6180,0.075561
6190,0.074773
6200,1.1879
6210,0.34532
6220,0.76826
6230,0.58317
6240,-0.69039
6250,0.07497
6260,0.075561
6270,0.075167
6280,1.8144
6290,0.66095
6300,-0.28615
6310,0.07497
6320,0.074379
6330,0.57786
6340,0.96359
6350,-0.03628
6360,1.0882
6370,1.076
6380,-0.17923
6390,0.18248
6400,0.99627
6410,1.2261
6420,0.49851
6430,1.8124
6440,0.64421
6450,0.15511
6460,0.10391
6470,1.049
6480,0.76452
6490,-0.001822
6500,1.0203
6510,0.25336
6520,0.80174
6530,0.57786
6540,0.30909
6550,0.70388
6560,0.55009
6570,0.20926
6580,-0.34207
6590,1.6722
6600,1.8191
6610,0.31283
6620,0.91023
6630,0.71884
6640,0.24883
6650,0.1935
6660,0.07497
6670,0.075757
6680,0.23505
6690,1.3818
6700,0.20945
6710,0.031848
6720,0.23958
6730,0.23899
6740,1.2209
6750,0.47015
6760,0.59046
6770,-0.059711
6780,0.1939
6790,0.07497
6800,2.2173
6810,-0.3338
6820,0.074773
6830,0.72081
6840,1.2251
6850,0.42585
6860,0.60247
6870,0.1874
6880,0.20886
6890,0.96635
6900,1.6484
6910,0.51997
6920,0.90905
6930,0.53375
6940,0.19291
6950,0.074576
6960,0.075561
6970,1.397
6980,0.24608
6990,-0.31253
7000,0.075364
