Variant,Cycle,Period,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Baseline,34,Cycling,1.5720400743528975e-08,2.1057423138836522e-10,2.0002786405775086e-08,4.1083211526273935,3.8355056272184447,5.3697078781062615,0.2743347228841526,0.9424811241341686,4.109840350102598
Baseline,35,Cycling,1.592814073463869e-08,2.07739991109715e-10,2.0002869809262043e-08,4.107545777175928,3.8348439143822057,5.368781480134487,0.27423824735402746,0.9412148022217934,4.109082161736233
Baseline,36,Cycling,1.6133158460432456e-08,2.0501772579376611e-10,2.0002953206628343e-08,4.10679562119227,3.8341908286417956,5.3678671600991805,0.27415876651843796,0.9400675779281045,4.108349595160234
Baseline,37,Cycling,1.633555887058518e-08,2.0240041015272485e-10,2.0003036598135534e-08,4.1060707549233495,3.8335457466840155,5.366964045357577,0.2740963924262787,0.9390398435651974,4.107642139110294
Baseline,38,Cycling,1.653544043043945e-08,1.9988155985426841e-10,2.000311998404023e-08,4.1053706861456885,3.8329081275744596,5.366071378603721,0.27405080759682043,0.9381282173472556,4.10695893517128
Baseline,39,Cycling,1.6732895679629797e-08,1.9745524919034775e-10,2.000320336460068e-08,4.104694578607894,3.832277580951291,5.365188613335832,0.2740217141968371,0.9373308402847158,4.106299295148128
Baseline,40,Cycling,1.6928011694044372e-08,1.951160144145751e-10,2.000328674007423e-08,4.1040417617168705,3.8316538737249006,5.364315423211536,0.2740083809659648,0.9366436070338011,4.105662254690865
Baseline,41,Cycling,1.7120870511852147e-08,1.928588178077743e-10,2.0003370110712867e-08,4.103411287945128,3.8310367571129715,5.36345145995828,0.2740101662372427,0.9360621518515995,4.105046923350214
Baseline,42,Cycling,1.7311549537961274e-08,1.906790261091273e-10,2.000345347676666e-08,4.102802283697894,3.8304260163965305,5.362596422955178,0.2740264108975379,0.9355828069143897,4.104452427294069
Baseline,43,Cycling,1.750012189301442e-08,1.8857235505314485e-10,2.0003536838479505e-08,4.102213886856431,3.829821439914645,5.361750015881249,0.2740564949940598,0.9352015295971299,4.103877934908705
Baseline,44,Cycling,1.7686656743723258e-08,1.8653485070883926e-10,2.0003620196088997e-08,4.1016452823740295,3.8292227957375236,5.360911914033153,0.2740998807879955,0.9349150537345281,4.103322676525519
Baseline,45,Cycling,1.7871219588688857e-08,1.8456284496559858e-10,2.0003703549823273e-08,4.101095708256742,3.828629853525291,5.36008179493686,0.27415603867927274,0.9347197747637921,4.1027858922045635
Baseline,46,Cycling,1.805387249792241e-08,1.8265290923355504e-10,2.000378689990148e-08,4.100564421170357,3.828042497180189,5.359259496052971,0.2742241060225936,0.9346100866595748,4.102266603202782
Baseline,47,Cycling,1.823467431507282e-08,1.8080181715040857e-10,2.0003870246530385e-08,4.100050447119362,3.827460767121667,5.358445073970714,0.27430266961301,0.9345775797397948,4.101763436734677
Baseline,48,Cycling,1.841368088265082e-08,1.790065675780007e-10,2.0003953589898034e-08,4.0995524259284135,3.826884746572358,5.357638645200211,0.27439043995817514,0.9346148890306551,4.101275186530533
Baseline,49,Cycling,1.859094521306323e-08,1.77264330412409e-10,2.0004036930176494e-08,4.099069161491114,3.826314592748264,5.356840429847836,0.2744857389799624,0.9347118220363484,4.100800331728227
Baseline,50,Cycling,1.876651774040685e-08,1.755725273436186e-10,2.0004120267519266e-08,4.098599138693714,3.8257504816986145,5.356050674379219,0.27458774001386255,0.9348642481547529,4.100338221712477
Baseline,51,Post-Rest (96hr),2.005982416900264e-08,1.2933064285957914e-09,2.0004203616723538e-08,4.094817298573067,3.821253840803517,5.349755377124883,0.2756342493260342,0.9380253910801652,4.096888090129552
Baseline,52,Cycling,2.022253629880667e-08,1.627121298040309e-10,2.0004286927516982e-08,4.094723408366717,3.8207442882101783,5.349042003494134,0.27577402592638167,0.9385677233568295,4.09651831413656
Baseline,53,Cycling,2.0383941310403052e-08,1.614050115963813e-10,2.0004370236504874e-08,4.094357316816248,3.820240788715606,5.348337104200418,0.2759162850971455,0.9391439665403922,4.096157073812751
Baseline,54,Cycling,2.05440706173308e-08,1.6012930692774943e-10,2.0004453543774096e-08,4.09399966824482,3.8197432908696376,5.347640607217315,0.27606062084491256,0.9397512973457651,4.09580391171455
Baseline,55,Cycling,2.070295440243426e-08,1.5888378510345753e-10,2.000453684940375e-08,4.0936500072470015,3.8192517659964356,5.346952472395685,0.27620685648900256,0.9403888397749682,4.095458622485438
Baseline,56,Cycling,2.086062167209472e-08,1.576672696604597e-10,2.00046201534716e-08,4.093308136215793,3.8187661555159407,5.346272617721482,0.27635463708330343,0.941054263415495,4.0951207925992446
Baseline,57,Cycling,2.1017100337548775e-08,1.56478665454056e-10,2.0004703456048565e-08,4.0929736410763935,3.8182864095438456,5.345600973360618,0.27650388347630805,0.9417474501691885,4.094790293020154
Baseline,58,Cycling,2.117241725738416e-08,1.5531691983538461e-10,2.000478675720575e-08,4.092646398141527,3.8178124750988154,5.3449374651363115,0.27665432062625817,0.9424664468124604,4.094466795725074
Baseline,59,Cycling,2.1326598289096726e-08,1.5418103171256684e-10,2.0004870057009987e-08,4.09232608184811,3.817344274618547,5.344281984465184,0.27680570432302476,0.9432095229207675,4.094149978941571
Baseline,60,Cycling,2.1479668354974072e-08,1.5307006587734617e-10,2.0004953355523658e-08,4.092012373116723,3.8168817523582,5.343634453299046,0.27695793418969483,0.9439764032705966,4.093839686547895
Baseline,61,Cycling,2.1631651464518545e-08,1.51983109544473e-10,2.0005036652807264e-08,4.091705119491488,3.8164248604281665,5.34299480459958,0.2771106812937547,0.9447642326537444,4.093535541721922
Baseline,62,Cycling,2.1782570793044704e-08,1.509193285261588e-10,2.0005119948918167e-08,4.0914039457687,3.815973506875866,5.342362909625166,0.27726398428177434,0.9455739144588264,4.09323749115764
Baseline,63,Cycling,2.1932448697476384e-08,1.4987790443168016e-10,2.000520324391358e-08,4.09110880068041,3.8155276251737122,5.341738675242887,0.27741761536419807,0.946403372713867,4.09294524053791
Baseline,64,Cycling,2.208130676653538e-08,1.488580690589945e-10,2.0005286537848125e-08,4.0908193931073304,3.8150871315149923,5.341121984121266,0.2775714913632239,0.9472521100931601,4.092658622878217
Baseline,65,Cycling,2.2229165860622605e-08,1.4785909408722578e-10,2.0005369830772656e-08,4.0905355589649055,3.814651999459434,5.34051279924455,0.2777255452550911,0.9481197084903528,4.092377544714525
Baseline,66,Cycling,2.2376046127316493e-08,1.468802666938881e-10,2.0005453122739523e-08,4.090257204842532,3.8142221048332132,5.3399109467639505,0.2778795160338343,0.9490039739847589,4.092101620867048
Baseline,67,Cycling,2.2521967045304743e-08,1.4592091798824982e-10,2.000553641379675e-08,4.089983950124027,3.813797320254362,5.339316248355473,0.27803336549552915,0.9499043915489409,4.0918306857498905
Baseline,68,Cycling,2.2666947463099792e-08,1.4498041779504984e-10,2.0005619703990247e-08,4.089715629152782,3.8133775240490246,5.3387285336696095,0.27818716715066527,0.9508209198404671,4.0915646911996895
Baseline,69,Cycling,2.2811005613241683e-08,1.4405815014189027e-10,2.0005702993367688e-08,4.089452195732929,3.8129625851869684,5.338147619262799,0.27834073038535223,0.9517519303223878,4.09130331557232
Baseline,70,Cycling,2.295415913453273e-08,1.431535212910476e-10,2.00057862819728e-08,4.089193330277559,3.812552375038693,5.337573325056667,0.2784939375181783,0.9526958174416507,4.0910463125568715
Baseline,71,Cycling,2.3096425119939426e-08,1.422659854066953e-10,2.0005869569846393e-08,4.088938789240439,3.8121467857886606,5.337005500103986,0.2786468543272598,0.9536530853932685,4.090793640115921
Baseline,72,Cycling,2.32378201202116e-08,1.4139500027217345e-10,2.000595285702954e-08,4.088688531156087,3.8117456773124165,5.336443948237477,0.27879933433352466,0.9546218977225358,4.090545011645942
Baseline,73,Cycling,2.3378360181456955e-08,1.4054006124535585e-10,2.0006036143560625e-08,4.088442270136251,3.8113489077952196,5.335888470913659,0.27895147679680754,0.9556023871253672,4.090300384592027
Baseline,74,Cycling,2.35180608546046e-08,1.3970067314764488e-10,2.0006119429480445e-08,4.0881999672553455,3.8109563817562364,5.3353389344595,0.27910308027860564,0.9565929774605522,4.0900594620348425
Baseline,75,Cycling,2.3656937220889845e-08,1.388763662852456e-10,2.000620271482257e-08,4.087961324310043,3.8105679484418395,5.334795127816065,0.2792541655423135,0.9575931784305283,4.0898221139841535
Baseline,76,Cycling,2.3795003922865127e-08,1.3806670197528156e-10,2.0006285999622428e-08,4.087726215002659,3.8101834687404383,5.334256856238454,0.27940489592179185,0.9586034243442896,4.08958836466223
Baseline,77,Cycling,2.393227517044366e-08,1.3727124757853243e-10,2.000636928391675e-08,4.087494663634479,3.8098028051010515,5.333723927141605,0.2795551959301301,0.9596226462229538,4.089358001031181
Baseline,78,Cycling,2.4068764754696737e-08,1.3648958425307775e-10,2.0006452567739403e-08,4.08726645669614,3.8094257981215938,5.3331961173707185,0.2797049979690289,0.9606498795362057,4.089130796090623
Baseline,79,Cycling,2.4204486075312107e-08,1.3572132061536996e-10,2.0006535851121124e-08,4.087041377628858,3.809052309820925,5.332673233749048,0.27985443634624785,0.9616853151017892,4.088906746167172
Baseline,80,Cycling,2.4339452141838703e-08,1.349660665265963e-10,2.0006619134094067e-08,4.0868194058871445,3.808682200574655,5.332155080802977,0.2800033864946241,0.962727295137455,4.088685587069278
Baseline,81,Cycling,2.4473675616219642e-08,1.3422347438093911e-10,2.0006702416687303e-08,4.0866002946010545,3.8083153245074337,5.331641454310617,0.2801521333724013,0.963777555547157,4.088467457879835
Baseline,82,Cycling,2.4607168809325258e-08,1.3349319310561535e-10,2.00067856989332e-08,4.086384179209367,3.8079515597265603,5.331132183616976,0.28030063060218735,0.9648352863756067,4.088252190328747
Baseline,83,Cycling,2.4739943663339314e-08,1.327748540140565e-10,2.000686898086224e-08,4.086170888743644,3.807590786925461,5.330627101696088,0.2804485348230621,0.9658968745904701,4.088039321748523
Baseline,84,Cycling,2.4872011829540916e-08,1.3206816620160137e-10,2.0006952262496575e-08,4.085959966596163,3.8072328724088353,5.330126021372465,0.28059637154247774,0.9669662866288888,4.0878292439513135
Baseline,85,Cycling,2.5003384634639835e-08,1.3137280509891934e-10,2.0007035543866372e-08,4.085751802133164,3.8068776787109866,5.32962875019372,0.2807439301058272,0.9680410547130265,4.087621608816814
Baseline,86,Cycling,2.5134073093940257e-08,1.306884593004222e-10,2.000711882499878e-08,4.085546048184075,3.8065250834670543,5.329135116855454,0.2808911759850692,0.9691201794344835,4.087416259452123
Baseline,87,Cycling,2.5264087938079237e-08,1.3001484413897945e-10,2.00072021059166e-08,4.085342552157625,3.8061749870722847,5.328644981902073,0.28103816339611765,0.9702040161197232,4.087213150468402
Baseline,88,Cycling,2.539343961824572e-08,1.2935168016648396e-10,2.0007285386641493e-08,4.0851412618811676,3.805827263839579,5.328158169373609,0.28118496156745154,0.9712922201455143,4.0870122254070305
Baseline,89,Cycling,2.552213831870688e-08,1.2869870046115875e-10,2.0007368667198965e-08,4.084942134123326,3.8054818011607505,5.327674521627912,0.281331595735244,0.9723847120737616,4.0868133968959945
Baseline,90,Cycling,2.5650193961949004e-08,1.2805564324212457e-10,2.0007451947609242e-08,4.0847450686972895,3.805138500439823,5.327193900615157,0.2814781068539829,0.973481021517614,4.086616607293806
