Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K]
0.0,0.0680616,3.8418396685651457,0.0,298.15
0.033333333333333326,0.0680616,3.8389364058720203,0.0022687200000000005,298.15
0.06666666666666665,0.0680616,3.8374318676457855,0.004537439999999999,298.15
0.09999999999999998,0.06806160000000001,3.835979956087257,0.00680616,298.15
0.1333333333333333,0.0680616,3.8345372711264343,0.009074879999999997,298.15
0.16666666666666663,0.0680616,3.833098519138929,0.011343599999999999,298.15
0.19999999999999996,0.0680616,3.8316628467266325,0.013612319999999999,298.15
0.23333333333333334,0.0680616,3.8302303084406413,0.01588104,298.15
0.2666666666666666,0.06806159999999999,3.828801262382555,0.018149759999999997,298.15
0.29999999999999993,0.06806159999999999,3.8273761681825023,0.02041847999999999,298.15
0.33333333333333326,0.0680616,3.8259555207319176,0.022687199999999994,298.15
0.36666666666666664,0.0680616,3.824539822260648,0.024955919999999996,298.15
0.3999999999999999,0.0680616,3.8231295704074943,0.02722463999999999,298.15
0.4333333333333333,0.0680616,3.8217252524201513,0.029493359999999993,298.15
0.4666666666666667,0.0680616,3.8203273419295134,0.03176208,298.15
0.49999999999999994,0.06806159999999999,3.8189362969348513,0.0340308,298.15
0.5333333333333332,0.0680616,3.8175525584509895,0.03629952,298.15
0.5666666666666667,0.0680616,3.816176554125163,0.03856824,298.15
0.5999999999999999,0.0680616,3.814808682220091,0.04083695999999999,298.15
0.6333333333333333,0.06806159999999999,3.8134493291391722,0.04310568000000001,298.15
0.6666666666666665,0.06806159999999999,3.812098861499636,0.04537440000000003,298.15
0.6999999999999998,0.06806160000000003,3.8107576266518173,0.04764312000000002,298.15
0.7333333333333333,0.06806159999999997,3.809425952728631,0.049911840000000034,298.15
0.7666666666666665,0.0680616,3.808104148795819,0.05218056000000002,298.15
0.7999999999999998,0.0680616,3.8067925050861087,0.05444928000000002,298.15
0.8333333333333334,0.0680616,3.805491293300135,0.05671800000000003,298.15
0.8666666666666666,0.0680616,3.8042007670514626,0.05898672000000004,298.15
0.8999999999999999,0.0680616,3.802921161906975,0.061255440000000036,298.15
0.9333333333333333,0.0680616,3.8016526963475785,0.06352416000000007,298.15
0.9666666666666666,0.0680616,3.800395571875422,0.06579288000000004,298.15
0.9999999999999999,0.0680616,3.799149973578684,0.06806160000000007,298.15
1.0333333333333332,0.0680616,3.7979160706240616,0.07033032000000007,298.15
1.0666666666666664,0.0680616,3.796694016759306,0.07259904000000007,298.15
1.1,0.0680616,3.795483950821915,0.07486776000000009,298.15
1.1333333333333333,0.0680616,3.794285997250631,0.07713648000000005,298.15
1.1666666666666667,0.0680616,3.7931002665968814,0.07940520000000004,298.15
1.1999999999999997,0.0680616,3.7919268562886574,0.08167392000000002,298.15
1.2333333333333332,0.0680616,3.7907658504387585,0.08394264000000003,298.15
1.2666666666666666,0.0680616,3.78961732086793,0.08621136000000003,298.15
1.2999999999999998,0.0680616,3.788481327617053,0.08848008000000003,298.15
1.333333333333333,0.0680616,3.7873579193197817,0.09074880000000002,298.15
1.3666666666666667,0.0680616,3.786247133674981,0.09301751999999999,298.15
1.3999999999999997,0.0680616,3.785148997906311,0.09528624,298.15
1.4333333333333331,0.0680616,3.78406352920945,0.09755496,298.15
1.4666666666666666,0.0680616,3.7829907351863596,0.09982367999999996,298.15
1.4999999999999998,0.0680616,3.7819306142660136,0.10209239999999993,298.15
1.533333333333333,0.06806160000000001,3.7808831561110248,0.10436111999999992,298.15
1.5666666666666664,0.0680616,3.779848342009668,0.1066298399999999,298.15
1.5999999999999996,0.0680616,3.7788261452528387,0.1088985599999999,298.15
1.6333333333333333,0.0680616,3.7778165314955463,0.1111672799999999,298.15
1.6666666666666667,0.0680616,3.7768194591025988,0.11343599999999988,298.15
1.6999999999999997,0.0680616,3.7758348794781824,0.11570471999999984,298.15
1.7333333333333332,0.0680616,3.774862737379158,0.11797343999999986,298.15
1.7666666666666664,0.0680616,3.7739029712119603,0.12024215999999983,298.15
1.7999999999999998,0.06806159999999999,3.7729555133131654,0.12251087999999978,298.15
1.8333333333333333,0.06806160000000001,3.7720202902139404,0.12477959999999978,298.15
1.8666666666666667,0.06806160000000001,3.771097222888863,0.12704831999999977,298.15
1.8999999999999997,0.0680616,3.7701862269898756,0.1293170399999998,298.15
1.9333333333333331,0.0680616,3.769287213066533,0.13158575999999977,298.15
1.9666666666666663,0.06806160000000001,3.7684000867741605,0.13385447999999978,298.15
1.9999999999999998,0.06806159999999999,3.7675247490627055,0.13612319999999978,298.15
2.033333333333333,0.06806160000000003,3.766661096396292,0.13839191999999975,298.15
2.0666666666666664,0.0680616,3.765809020909968,0.14066063999999975,298.15
2.0999999999999996,0.0680616,3.7649684106110053,0.14292935999999976,298.15
2.133333333333333,0.06806159999999997,3.7641391495707937,0.14519807999999973,298.15
2.1666666666666665,0.0680616,3.763321117889578,0.14746679999999976,298.15
2.2,0.06806160000000001,3.76251419284492,0.14973551999999976,298.15
2.233333333333333,0.0680616,3.7617182477889437,0.1520042399999997,298.15
2.2666666666666666,0.0680616,3.7609331532894017,0.1542729599999997,298.15
2.2999999999999994,0.0680616,3.760158777235114,0.15654167999999974,298.15
2.3333333333333335,0.0680616,3.759394985183365,0.1588103999999997,298.15
2.3666666666666667,0.0680616,3.7586416408763927,0.16107911999999971,298.15
2.3999999999999995,0.0680616,3.7578986058651336,0.16334783999999974,298.15
2.4333333333333327,0.06806159999999999,3.7571657412743478,0.1656165599999998,298.15
2.4666666666666663,0.0680616,3.7564429072391823,0.16788527999999978,298.15
