SEI Model,Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V),SEI Thickness (m),Loss of Lithium Inventory (%),SEI rxn rate
reaction limited,0.3,66,3.6970511445607848,3.6968225006258164,0.00022864393496835334,2.1009905138806876e-08,0.21979875077508382,1e-12
reaction limited,0.3,67,3.6970511445606205,3.6968191177848393,0.00023202677578115782,2.1251931709876494e-08,0.22312151486376308,1e-12
reaction limited,0.3,68,3.6970511445568066,3.696815736730289,0.00023540782651743086,2.1493946958169443e-08,0.22644412347162302,1e-12
reaction limited,0.3,69,3.6970511445376397,3.6968123579926395,0.00023878654500020247,2.1735951601279206e-08,0.22976658660392957,1e-12
reaction limited,0.3,70,3.6970511445327023,3.6968089815159657,0.00024216301673662954,2.197792820382061e-08,0.23308866461026412,1e-12
reaction limited,0.3,71,3.6970511445222423,3.6968056078000853,0.0002455367221569915,2.2219895486095568e-08,0.23641061473617242,1e-12
reaction limited,0.3,72,3.6970511445081797,3.6968022363480855,0.0002489081600942633,2.2461842089170777e-08,0.23973228099990251,1e-12
reaction limited,0.3,73,3.6970511444863154,3.696798866677473,0.0002522778088422939,2.2703777907903393e-08,0.2430537991650823,1e-12
reaction limited,0.3,74,3.6970511444851484,3.6967954995619463,0.00025564492320206966,2.2945698215541396e-08,0.24637510429636222,1e-12
reaction limited,0.3,75,3.6970511444790186,3.6967921346917985,0.00025900978722015466,2.3187606294219262e-08,0.24969624166669746,1e-12
reaction limited,0.3,76,3.6970511444657923,3.6967887728325177,0.0002623716332745829,2.342948585495667e-08,0.2530169874323036,1e-12
reaction limited,0.3,77,3.697051144451865,3.696785412854541,0.0002657315973237928,2.3671359782106078e-08,0.25633765588609947,1e-12
reaction limited,0.3,78,3.697051144438097,3.696782054620079,0.00026908981801820886,2.3913211177668312e-08,0.2596580150773491,1e-12
reaction limited,0.3,79,3.6970511444206355,3.6967786984981443,0.0002724459224912046,2.4155053151801397e-08,0.2629782448585587,1e-12
reaction limited,0.3,80,3.697051144408073,3.6967753454327132,0.0002757989753598977,2.4396871814067046e-08,0.26629815461895134,1e-12
reaction limited,0.9,2,3.903959360784629,3.9037980641413155,0.0001612966433133245,6.286167743746472e-09,0.017657697538112416,1e-12
reaction limited,0.9,3,3.903959361874091,3.9037187885499813,0.00024057332410976073,6.92774744100953e-09,0.026465895606719414,1e-12
reaction limited,0.9,4,3.9039593607923258,3.9036403568222875,0.0003190039700382563,7.568341733232181e-09,0.0352605651268334,1e-12
reaction limited,0.9,5,3.903959359659588,3.903562754622487,0.0003966050371007057,8.207961329579435e-09,0.04404185312043296,1e-12
reaction limited,0.9,6,3.903959360821037,3.903485969297632,0.00047339152340519774,8.846619372308527e-09,0.05280994002643524,1e-12
reaction limited,0.9,7,3.9039593600575273,3.9034099871457464,0.000549372911780921,9.484325079647484e-09,0.06156495237664217,1e-12
reaction limited,0.9,8,3.9039593592653796,3.9033347919572448,0.0006245673081348713,1.0121093982768857e-08,0.07030710343623525,1e-12
reaction limited,0.9,9,3.9039593584763486,3.9032603764721845,0.0006989820041640726,1.0756926639156313e-08,0.07903640084219887,1e-12
reaction limited,0.9,10,3.903959359657862,3.9031867255417723,0.0007726341160898542,1.1391847597618112e-08,0.087753181590557,1e-12
reaction limited,0.9,11,3.903959359062294,3.9031138265228837,0.0008455325394103319,1.2025863199941143e-08,0.09645753277857239,1e-12
reaction limited,0.9,12,3.9039593584683527,3.9030416684340414,0.0009176900343113026,1.2658984353541103e-08,0.10514960416304575,1e-12
reaction limited,0.9,13,3.9039593578786556,3.90297023696601,0.0009891209126453582,1.3291216469199631e-08,0.11382947000798538,1e-12
reaction limited,0.9,14,3.903959357275821,3.9028995225927208,0.0010598346831001138,1.3922564192033652e-08,0.12249719410414173,1e-12
reaction limited,0.9,15,3.903959358462514,3.9028295172842307,0.0011298411782831863,1.4553057136712181e-08,0.13115318298915213,1e-12
reaction limited,0.9,16,3.9039593579835548,3.902760203347906,0.0011991546356489025,1.518269595139485e-08,0.1397974456015163,1e-12
reaction limited,0.9,17,3.9039593575049776,3.902691573024512,0.0012677844804653837,1.581148713597689e-08,0.14843007117582374,1e-12
reaction limited,0.9,18,3.9039593570252693,3.902623618327717,0.0013357386975521024,1.6439418180516277e-08,0.1570508879459851,1e-12
reaction limited,0.9,19,3.903959356541158,3.9025563224044277,0.0014030341367301524,1.7066558347051783e-08,0.16566084681841176,1e-12
reaction limited,0.9,20,3.903959356075692,3.9024896832645934,0.0014696728110985546,1.7692838425733615e-08,0.17425899762127983,1e-12
reaction limited,0.9,21,3.9039593572525613,3.902423684346301,0.0015356729062601104,1.831833772278718e-08,0.18284642910208504,1e-12
reaction limited,0.9,22,3.903959356855591,3.902358313969142,0.0016010428864490223,1.894305535804348e-08,0.1914231292248445,1e-12
reaction limited,0.9,23,3.9039593564526296,3.902293570565145,0.00166578588748445,1.9566933242777445e-08,0.19998830047569527,1e-12
reaction limited,0.9,24,3.903959356067369,3.902229440412091,0.0017299156552779138,2.0190064147294435e-08,0.20854321650352858,1e-12
reaction limited,0.9,25,3.903959355676662,3.9021659109906457,0.0017934446860161657,2.081242125188772e-08,0.21708750909121477,1e-12
reaction limited,0.9,26,3.9039593552780305,3.9021029781902357,0.0018563770877948471,2.1434029935414275e-08,0.22562152664954738,1e-12
reaction limited,0.9,27,3.9039593548823186,3.902040634241215,0.001918720641103544,2.2054812900360664e-08,0.23414420798278002,1e-12
reaction limited,0.9,28,3.903959356060703,3.9019788696449904,0.00198048641571269,2.2674856802550145e-08,0.24265674280624694,1e-12
reaction limited,0.9,29,3.903959355721925,3.9019176631396233,0.0020416925823019128,2.3294228374127852e-08,0.2511600472416262,1e-12
reaction limited,0.9,30,3.9039593553917404,3.9018570256755303,0.0021023297162101606,2.3912792758255295e-08,0.2596522698181758,1e-12
reaction limited,0.9,31,3.903959355058012,3.901796939655905,0.00216241540210671,2.453064011968835e-08,0.26813464849402635,1e-12
reaction limited,0.9,32,3.903959354722923,3.9017373885732987,0.0022219661496243326,2.514783540592995e-08,0.2766080748982631,1e-12
reaction limited,0.9,33,3.903959354379414,3.901678394253013,0.0022809601264013324,2.5764162101395813e-08,0.28506957644631825,1e-12
reaction limited,0.9,34,3.903959354048057,3.901619907464981,0.0023394465830759437,2.6379935530764915e-08,0.2935234822460586,1e-12
reaction limited,0.9,35,3.90395935517407,3.901561950713049,0.002397404461021324,2.699494434558116e-08,0.30196689074726635,1e-12
reaction limited,0.9,36,3.903959354876777,3.901504500328559,0.0024548545482176998,2.7609331770180813e-08,0.31040176819666954,1e-12
reaction limited,0.9,37,3.903959354584691,3.9014475578307066,0.0025117967539842745,2.822297717184441e-08,0.3188264584942999,1e-12
reaction limited,0.9,38,3.9039593542889515,3.9013911062304683,0.0025682480584832135,2.88360530273078e-08,0.32724332951619317,1e-12
reaction limited,0.9,39,3.9039593540093795,3.901335165244464,0.002624188764915658,2.944826658126384e-08,0.3356483620846973,1e-12
reaction limited,0.9,40,3.9039593537073127,3.9012797029696085,0.0026796507377042644,3.005989051805163e-08,0.34404529982823817,1e-12
reaction limited,0.9,41,3.9039593534213877,3.9012247027168514,0.002734650704536268,3.067098067560616e-08,0.35243490934938393,1e-12
reaction limited,0.9,42,3.903959354486063,3.9011701861687476,0.0027891683173155712,3.128126906019098e-08,0.36081351143515406,1e-12
reaction limited,0.9,43,3.9039593542213793,3.901116130331082,0.0028432238902973417,3.189098397753427e-08,0.369184240403456,1e-12
reaction limited,0.9,44,3.9039593539547193,3.901062552537442,0.002896801417277217,3.249982299823794e-08,0.37754294424418333,1e-12
reaction limited,0.9,45,3.9039593537091823,3.901009395026964,0.0029499586822181456,3.31083820045778e-08,0.38589780381546746,1e-12
reaction limited,0.9,46,3.9039593534500243,3.9009566888894773,0.003002664560546986,3.371622341441837e-08,0.3942428115302903,1e-12
reaction limited,0.9,47,3.9039593531892676,3.9009044353595863,0.0030549178296812585,3.4323320982047834e-08,0.40257760711727997,1e-12
reaction limited,0.9,48,3.9039593529501317,3.9008526144438807,0.0031067385062510944,3.492977621321076e-08,0.4109035841308213,1e-12
reaction limited,0.9,49,3.903959352671662,3.9008012192910613,0.0031581333806007805,3.553571241452412e-08,0.4192224353638494,1e-12
reaction limited,0.9,50,3.903959352425306,3.9007502331585275,0.0032091192667782487,3.614110297005117e-08,0.4275337955041607,1e-12
reaction limited,0.9,51,3.903959353473791,3.9006996745421243,0.0032596789316667873,3.674584603767387e-08,0.43583626631235006,1e-12
reaction limited,0.9,52,3.9039593532369317,3.9006495003496893,0.0033098528872423927,3.7350242993652204e-08,0.44413398543477456,1e-12
reaction limited,0.9,53,3.9039593530017918,3.90059976834029,0.0033595846615015468,3.7953579582319116e-08,0.45241714678681433,1e-12
reaction limited,0.9,54,3.903959352778898,3.900550430711082,0.003408922067816178,3.855648506309864e-08,0.4606943894842459,1e-12
reaction limited,0.9,55,3.903959352548692,3.900501491714275,0.0034578608344171258,3.915869242252286e-08,0.46896204786398243,1e-12
reaction limited,0.9,56,3.9039593523057308,3.9004529093073037,0.0035064429984270618,3.976072285150993e-08,0.47722727704439194,1e-12
reaction limited,0.9,57,3.9039593520813676,3.900404726821618,0.0035546252597495887,4.03619612733472e-08,0.4854816328789866,1e-12
reaction limited,0.9,58,3.903959351850765,3.9003569259420727,0.0036024259086921973,4.0962698901405114e-08,0.49372911333449565,1e-12
reaction limited,0.9,59,3.903959352233371,3.9003094910361735,0.003649861197197346,4.156288418739786e-08,0.5019690107435224,1e-12
reaction limited,0.9,60,3.903959351706689,3.90026243219617,0.003696919510518981,4.2162508426237316e-08,0.5102012055818079,1e-12
reaction limited,0.9,61,3.9039593607519283,3.9002157414996557,0.003743619252272623,4.27614762657507e-08,0.5184243887504323,1e-12
reaction limited,0.9,62,3.9039593606728835,3.9001694121215396,0.003789948551343958,4.3359975642796596e-08,0.5266411404062694,1e-12
reaction limited,0.9,63,3.903959360587346,3.9001234177024386,0.0038359428849075172,4.3958115006359427e-08,0.5348529495099683,1e-12
reaction limited,0.9,64,3.903959360514156,3.900077795430084,0.003881565084071781,4.4555380981774706e-08,0.5430527679551176,1e-12
reaction limited,0.9,65,3.9039593604370504,3.9000325087886614,0.003926851648389018,4.515236726467197e-08,0.551248746467877,1e-12
reaction limited,0.9,66,3.9039593603625606,3.89998756703981,0.00397179332275055,4.574878920416376e-08,0.5594369771315968,1e-12
reaction limited,0.9,67,3.903959360279418,3.8999429852785155,0.00401637500090235,4.634431477461852e-08,0.5676129016558775,1e-12
reaction limited,0.9,68,3.90395936020021,3.8998987056148433,0.004060654585366752,4.6939747783368235e-08,0.5757875554086809,1e-12
reaction limited,0.9,69,3.9039593601235403,3.899854778046276,0.004104582077264496,4.753448940537753e-08,0.5839527171655163,1e-12
reaction limited,0.9,70,3.9039593600575273,3.8998111550122605,0.004148205045266806,4.812884020954416e-08,0.5921125134078977,1e-12
reaction limited,0.9,71,3.9039593599730376,3.89976784946985,0.004191510503187779,4.87228527730018e-08,0.6002676660204429,1e-12
reaction limited,0.9,72,3.903959359897267,3.899724868810063,0.004234491087204084,4.9316218155595545e-08,0.6084139334635523,1e-12
reaction limited,0.9,73,3.903959359809487,3.899682216309411,0.004277143500075908,4.9908882225304056e-08,0.6165505726138178,1e-12
reaction limited,0.9,74,3.903959359741564,3.8996398620660404,0.0043194976755236425,5.0501287611866305e-08,0.624683660456796,1e-12
reaction limited,0.9,75,3.9039593596578603,3.899597795511558,0.004361564146302399,5.109335033732517e-08,0.6328120438105032,1e-12
reaction limited,0.9,76,3.9039593595806292,3.8995560617286458,0.0044032978519834565,5.1684578307661954e-08,0.6409289668916074,1e-12
reaction limited,0.9,77,3.903959359493702,3.8995146338346087,0.004444725659093152,5.2275214492234766e-08,0.6490377654264563,1e-12
reaction limited,0.9,78,3.9039593594244533,3.8994734715172106,0.004485887907242692,5.2865671916340236e-08,0.6571441097876516,1e-12
reaction limited,0.9,79,3.9039593593449693,3.899432615525428,0.004526743819541323,5.3455607085039914e-08,0.6652432841278966,1e-12
reaction limited,0.9,80,3.9039593592653796,3.8993920280781316,0.004567331187248058,5.4045344609601243e-08,0.673339745034923,1e-12
solvent-diffusion limited,0.3,2,3.6970511211598756,3.697036652118111,1.4469041764719748e-05,5.992737282461015e-09,0.013629213446165522,0.0
solvent-diffusion limited,0.3,3,3.6970511214198343,3.6970302697296895,2.085169014476307e-05,6.431891573541112e-09,0.0196583287783767,0.0
solvent-diffusion limited,0.3,4,3.697051121214736,3.6970243029108847,2.6818303851428027e-05,6.842904726745364e-09,0.025301096594006367,0.0
solvent-diffusion limited,0.3,5,3.6970511210238914,3.6970186806642333,3.2440359658103546e-05,7.230582207559169e-09,0.030623490772683226,0.0
solvent-diffusion limited,0.3,6,3.697051121249779,3.6970133496176443,3.777163213491974e-05,7.59853796893708e-09,0.03567512700170994,0.0
solvent-diffusion limited,0.3,7,3.697051121119207,3.6970082710129395,4.285010626770003e-05,7.949402461446501e-09,0.04049211849735457,0.0
solvent-diffusion limited,0.3,8,3.69705112099574,3.697003409053181,4.771194255903666e-05,8.285603424480946e-09,0.045107795539678364,0.0
solvent-diffusion limited,0.3,9,3.6970511208419623,3.6969987439584187,5.237688354364778e-05,8.608464643722325e-09,0.04954033227809873,0.0
solvent-diffusion limited,0.3,10,3.6970511206975214,3.6969942494591606,5.6871238360844956e-05,8.919786036426375e-09,0.053814439625867294,0.0
solvent-diffusion limited,0.3,11,3.697051120972638,3.6969899105521407,6.121042049755943e-05,9.220582036395338e-09,0.05794404466057301,0.0
solvent-diffusion limited,0.3,12,3.6970511208704404,3.6969857132117054,6.540765873497278e-05,9.511767174350995e-09,0.061941702925864206,0.0
solvent-diffusion limited,0.3,13,3.69705112076278,3.6969816438187104,6.947694406944649e-05,9.794305343391076e-09,0.06582064763523476,0.0
solvent-diffusion limited,0.3,14,3.6970511206629406,3.6969776888976535,7.343176528706863e-05,1.0069087592775299e-08,0.06959311189729078,0.0
solvent-diffusion limited,0.3,15,3.697051120555918,3.696973841998302,7.727855761574531e-05,1.0336567640701911e-08,0.0732653248201558,0.0
solvent-diffusion limited,0.3,16,3.6970511204313894,3.6969700957105323,8.102472085713686e-05,1.0597230957291798e-08,0.07684395135341049,0.0
solvent-diffusion limited,0.3,17,3.69705112071832,3.696966445706085,8.467501223474727e-05,1.0851358433622658e-08,0.08033284784436034,0.0
solvent-diffusion limited,0.3,18,3.6970511206367043,3.6969628766146565,8.82440220477676e-05,1.1100019699000124e-08,0.08374669915284016,0.0
solvent-diffusion limited,0.3,19,3.6970511205597703,3.6969593894632533,9.173109651694489e-05,1.1343126670013963e-08,0.08708429598863177,0.0
solvent-diffusion limited,0.3,20,3.6970511204630565,3.6969559784035244,9.514205953209398e-05,1.1581092333545717e-08,0.09035130815773584,0.0
solvent-diffusion limited,0.3,21,3.697051120385783,3.696952635549703,9.848483608010383e-05,1.1814427930416227e-08,0.09355475456393947,0.0
solvent-diffusion limited,0.3,22,3.6970511202806353,3.6969493604455343,0.00010175983510096742,1.2043183220256399e-08,0.09669531826061473,0.0
solvent-diffusion limited,0.3,23,3.697051120547385,3.696946151804374,0.00010496874301102466,1.2267430598328506e-08,0.09977399316321112,0.0
solvent-diffusion limited,0.3,24,3.6970511204987,3.696943001899586,0.00010811859911408206,1.2487718734599245e-08,0.10279831199895284,0.0
solvent-diffusion limited,0.3,25,3.697051120416325,3.696939905096961,0.00011121531936408857,1.2704390651711627e-08,0.10577298402075996,0.0
solvent-diffusion limited,0.3,26,3.6970511203365994,3.6969368599992185,0.00011426033738093366,1.291756139730936e-08,0.10869958873578867,0.0
solvent-diffusion limited,0.3,27,3.6970511202633154,3.696933872534535,0.00011724772878052292,1.3126835458079365e-08,0.11157269612924381,0.0
solvent-diffusion limited,0.3,28,3.697051120197468,3.6969309298667072,0.00012019033076082764,1.3333076177615138e-08,0.11440415903730639,0.0
solvent-diffusion limited,0.3,29,3.697051120108398,3.6969280350891047,0.00012308501929325644,1.3536074766412252e-08,0.11719111098159374,0.0
solvent-diffusion limited,0.3,30,3.697051120386515,3.696925180313612,0.00012594007290323006,1.3736336171729312e-08,0.11994048430811688,0.0
solvent-diffusion limited,0.3,31,3.6970511203166003,3.696922375437703,0.00012874487889735775,1.3933248024680207e-08,0.12264387193181392,0.0
solvent-diffusion limited,0.3,32,3.69705112024469,3.696919605749371,0.00013151449531889625,1.4127767320403283e-08,0.12531441237065621,0.0
solvent-diffusion limited,0.3,33,3.6970511201838825,3.6969168733043194,0.00013424687956309356,1.4319759280838567e-08,0.12795025510745006,0.0
solvent-diffusion limited,0.3,34,3.697051120123505,3.6969141837378965,0.0001369363856085215,1.4508852448599282e-08,0.13054630065911965,0.0
solvent-diffusion limited,0.3,35,3.697051120056125,3.696911526992814,0.00013959306331123855,1.4695712798324965e-08,0.13311169191931072,0.0
solvent-diffusion limited,0.3,36,3.6970511199873863,3.6969089052995385,0.0001422146878478081,1.488020349231066e-08,0.13564455037476364,0.0
solvent-diffusion limited,0.3,37,3.6970511199205776,3.6969063185476703,0.00014480137290728834,1.5062303784878887e-08,0.13814459124027678,0.0
solvent-diffusion limited,0.3,38,3.697051120198007,3.6969037629211963,0.00014735727681092214,1.524234220447786e-08,0.14061632479067043,0.0
solvent-diffusion limited,0.3,39,3.697051120130978,3.696901240691193,0.0001498794397849501,1.5420106239001158e-08,0.14305683348847253,0.0
solvent-diffusion limited,0.3,40,3.6970511200851934,3.696898742472518,0.00015237761267528072,1.5596209009280758e-08,0.1454745348320614,0.0
solvent-diffusion limited,0.3,41,3.69705112001282,3.6968962790947186,0.00015484091810158418,1.576997743140876e-08,0.1478601880503163,0.0
solvent-diffusion limited,0.3,42,3.697051119951877,3.6968938392261275,0.00015728072574949792,1.594214921592846e-08,0.150223921185912,0.0
solvent-diffusion limited,0.3,43,3.697051119880336,3.69689142979645,0.00015969008388605488,1.6112229485344597e-08,0.1525589400618088,0.0
solvent-diffusion limited,0.3,44,3.697051119823823,3.69688904697077,0.00016207285305291919,1.628054552591266e-08,0.15486973803768933,0.0
solvent-diffusion limited,0.3,45,3.6970511200914355,3.69688668618108,0.00016443391035547705,1.6447363095461634e-08,0.15715996347006467,0.0
solvent-diffusion limited,0.3,46,3.6970511200381146,3.6968843467853008,0.00016677325281388988,1.661271451670423e-08,0.15943006046714459,0.0
solvent-diffusion limited,0.3,47,3.697051119994148,3.6968820413112438,0.00016907868290427785,1.677575532271429e-08,0.1616684350356934,0.0
solvent-diffusion limited,0.3,48,3.697051119931772,3.6968797526448602,0.0001713672869119165,1.693773557078369e-08,0.1638922493697521,0.0
solvent-diffusion limited,0.3,49,3.6970511198687444,3.6968774856243325,0.0001736342444118577,1.7098130802674587e-08,0.1660943030990154,0.0
solvent-diffusion limited,0.3,50,3.697051119820739,3.6968752439868133,0.0001758758339258648,1.7256891292277717e-08,0.16827391360379806,0.0
solvent-diffusion limited,0.3,51,3.6970511197515217,3.696873022956967,0.00017809679455460525,1.741425314969716e-08,0.17043432241632672,0.0
solvent-diffusion limited,0.3,52,3.697051119692441,3.6968708173189437,0.0001803023734971987,1.7570562624314397e-08,0.17258028306261508,0.0
