Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,1,,
Separator Bruggeman coefficient (electrolyte),1.5,,
Separator density [kg.m-3],397,,
Separator specific heat capacity [J.kg-1.K-1],700,,
Separator thermal conductivity [W.m-1.K-1],0.16,,
