,SOC,kp,kn,e
0,0.9314994717644287,1.425,0.09999999999999998,0.012462574421270377
1,0.8629953464377476,1.0,0.14999999999999997,0.009083216171614849
2,0.7944931095055265,0.6749999999999999,0.39,0.009388194008841454
3,0.7259952441685253,0.4399999999999999,2.2,0.011261281945741417
4,0.6574936579383464,0.24999999999999994,10.0,0.025565636470500714
5,0.5889939690565131,0.32500000000000007,10.0,0.021817779693218124
6,0.5204949979593898,0.2899999999999999,10.0,0.01079569674983526
7,0.45199289396126585,0.1805073517913056,10.0,0.007569970469910597
8,0.3834963941894187,0.11499999999999998,10.0,0.007686342256077859
9,0.3149946104755533,0.09999999999999998,0.525,0.021843346041557604
10,0.24649153462265672,1.8800000000000003,0.17499999999999988,0.016192044052755997
11,0.17799060469877048,0.5961057473592439,0.3999999999999999,0.01935080417050978
12,0.10948791561199533,0.4299999999999999,10.0,0.1412313481285113
