,SOC,kp,kn,e
0,0.9314994717644287,1.225,0.12999999999999998,0.013828832917199921
1,0.8629953464377476,0.91,0.21999999999999995,0.00966530796469407
2,0.7944931095055265,0.6319958732507505,0.6250000000000001,0.00997334425750161
3,0.7259952441685253,0.42499999999999993,8.074999999999998,0.01141419037300648
4,0.6574936579383464,0.24000000000000005,10.0,0.026280404135545526
5,0.5889939690565131,0.30000000000000004,10.0,0.018697474471352594
6,0.5204949979593898,0.2799999999999999,9.985,0.010849311398886334
7,0.45199289396126585,0.17700018352293673,10.0,0.007636549717947149
8,0.3834963941894187,0.10499999999999998,10.0,0.007798514944153829
9,0.3149946104755533,0.09999999999999998,0.275,0.025103766636623878
10,0.24649153462265672,0.875,0.16999999999999998,0.017300260212892216
11,0.17799060469877048,0.11499999999999998,0.37999999999999995,0.41021619126899916
12,0.10948791561199533,0.3999999999999999,1.25,0.1463073314858095
