,SOC,kp,kn,e
0,0.9314994717644287,1.4470244733375062,0.09999999999999998,0.012482065902268686
1,0.8629953464377476,0.9785241404723146,0.15,0.009062134788454183
2,0.7944931095055265,0.6700196896495864,0.4000196896495864,0.009391528238347312
3,0.7259952441685253,0.4415176480877459,2.1915176480877463,0.01127126479209382
4,0.6574936579383464,0.25635328385619593,10.0,0.025549333286907193
5,0.5889939690565131,0.3295181965205628,0.3295181965205628,0.026412599295870094
6,0.5204949979593898,0.2860186377643972,10.0,0.01078636521804126
7,0.45199289396126585,0.1805073517913056,10.0,0.007569970469910597
8,0.3834963941894187,0.11499999999999998,10.0,0.007686342256077859
9,0.3149946104755533,0.09999999999999998,0.5305211281420149,0.021840912287995284
10,0.24649153462265672,10.0,0.16201895368739316,0.014277159436805168
11,0.17799060469877048,0.593516659316015,0.3935166593160151,0.019664657912436226
12,0.10948791561199533,0.4280674338731973,0.30001494791061034,0.3336977054353051
