,SOC,kp,kn,e
0,0.9314994717644287,1.425,0.09999999999999998,0.012462574421270377
1,0.8629953464377476,1.1500000000000001,0.1999999999999999,0.009409556711997032
2,0.7944931095055265,0.875,0.4900000000000001,0.011555364629755805
3,0.7259952441685253,0.5926768309316127,3.5999999999999988,0.01133959519600196
4,0.6574936579383464,0.37,10.0,0.01489123624763408
5,0.5889939690565131,0.775,1.875,0.00723082450484179
6,0.5204949979593898,0.5,10.0,0.007642446628601187
7,0.45199289396126585,0.29999999999999993,10.0,0.00793647834039135
8,0.3834963941894187,0.18999999999999997,10.0,0.011363163409869991
9,0.3149946104755533,0.13999999999999999,1.4800000000000002,0.013227729164257794
10,0.24649153462265672,1.1,0.5199999999999999,0.023188066566577042
11,0.17799060469877048,1.5000000000000002,10.0,0.12109563756267452
12,0.10948791561199533,10.0,1.34,0.050202484301815585
