,SOC,kp,kn,e
0,0.9314994717644287,1.2359157067102167,1.000521069699,0.005564191024909982
1,0.8629953464377476,0.9284960398664381,0.918524179954595,0.005680781222938721
2,0.7944931095055265,0.6451986478031697,0.914301783978654,0.005876575427442408
3,0.7259952441685253,0.42309303152478445,0.755765605948486,0.0063203083006676455
4,0.6574936579383464,0.2554062653550286,0.6466220443160853,0.022772752280959666
5,0.5889939690565131,0.3773775938487768,0.4884506874805986,0.017750475609566975
6,0.5204949979593898,0.27773162278449537,0.5735018114647501,0.008415117238797138
7,0.45199289396126585,0.18934604660917426,1.026117831628668,0.007013716594257356
8,0.3834963941894187,0.11671020419364794,0.16666019771389431,0.010015835306879167
9,0.3149946104755533,0.09999999999999998,0.2899863953174649,0.01720840966933313
10,0.24649153462265672,0.2714004683167252,0.23742624531653023,0.01363622691946721
11,0.17799060469877048,0.34827148693883625,0.5585695685761284,0.010840413581926452
12,0.10948791561199533,0.31118296142769053,0.33687680832488415,0.10071388308743329
