Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,0.5,Ai2020,
Separator Bruggeman coefficient (electrolyte),1.5,Ai2020,theoretical
Separator Bruggeman coefficient (electrode),1.5,default,
Separator density [kg.m-3],2470,default,cell parameter
Separator specific heat capacity [J.kg-1.K-1],1080.2,default,cell parameter
Separator thermal conductivity [W.m-1.K-1],0.334,default,cell parameter 
