Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,0.48,Siegel2022,
Separator Bruggeman coefficient (electrolyte),1.5,Peyman MPM,
Separator density [kg.m-3],516.67,,6.2g/m2
Separator specific heat capacity [J.kg-1.K-1],700,,no info from Peyman MPM
Separator thermal conductivity [W.m-1.K-1],0.16,,no info from Peyman MPM
Separator transport efficiency , 0.25,
