Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,0.508,,
Separator Bruggeman coefficient (electrolyte),1.9804586773134942, Solve for permeability factor B=0.304=eps^b,
Separator density [kg.m-3],1017,Zhao et al. (2018),
Separator specific heat capacity [J.kg-1.K-1],1978,Zhao et al. (2018),
Separator thermal conductivity [W.m-1.K-1],0.34,Zhao et al. (2018),
