Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,Temperature_T_type
7.192,5.128225641,0,21.94563548,23.24700095,14.27726053,-0.781155264,463,28,100,0,23.4375,0,0.972,22.44865615
7.292,5.129341962,0,21.97533318,23.25688573,14.29020732,-0.856866948,463,28,100,0,23.4375,0,0.972,22.45259468
7.392,5.120092447,0,21.93573607,23.23711608,14.28373393,-0.920624156,463,28.4,100,0,23.4375,0,0.972,22.45259468
7.492,5.107374367,0,21.91593701,23.24700095,14.24165685,-0.840927646,463,28.4,100,0,23.4375,0,0.971,22.44865615
7.592,5.115427822,0,21.96543403,23.25688573,14.27726053,-0.880775901,463,28.4,100,0,23.4375,0,0.971,22.44471759
7.692,5.13540199,0,21.97533318,23.26677042,14.29020732,-0.928593807,463,28.4,100,0,23.4375,0,0.971,22.43684037
7.792,5.112038992,0,21.93573607,23.27665503,14.29344402,-0.852882123,463,28.4,100,0,23.4375,0,0.971,22.45653317
7.892,5.103666589,0,21.93573607,23.25688573,14.27078713,-0.777170439,463,28.4,100,0,23.4375,0,0.971,22.44865615
7.992,3.907263241,0,21.96543403,23.26677042,14.26755044,-0.789124915,463,28.4,100,0,23.4375,0,0.971,22.43684037
8.092,4.211454938,0,21.9555348,22.88120243,14.29668072,-0.805064217,463,28.4,100,0,23.4375,0,0.971,22.44865615
8.192,4.973974255,0,21.93573607,24.68924282,14.29668072,-0.880775901,463,28.4,100,0,23.4375,0,0.971,22.46047164
8.292,3.907342976,0,21.9555348,22.88120243,14.27078713,-0.821003519,463,28.4,100,0,23.4375,0,0.971,22.45653317
8.392,3.907342976,0,21.97533318,22.88120243,14.28373393,-0.836942821,463,28.4,100,0,23.4375,0,0.971,22.45653317
8.492,3.907263241,0,21.92583658,22.89109045,14.27726053,-0.892730377,464,28.4,100,0,23.4375,0,0.971,22.46047164
8.592,3.907303108,0,21.91593701,22.89109045,14.29991742,-0.757246311,464,28.4,100,0,23.4375,0,0.97,22.44471759
8.692,3.907303108,0,21.9555348,22.88120243,14.3225743,-0.824988344,464,28.4,100,0,23.4375,0,0.97,22.45653317
8.792,3.907303108,0,21.9555348,22.90097839,14.28049723,-0.733337358,464,28.4,100,0,23.4375,0,0.97,22.46047164
8.892,3.907303108,0,21.93573607,22.88120243,14.26431374,-0.741307009,464,28.4,100,0,23.4375,0,0.97,22.45259468
8.992,3.907263241,0,21.93573607,22.88120243,14.26107704,-0.797094566,464,28.4,100,0,23.4375,0,0.97,22.45259468
9.092,3.907263241,0,21.93573607,22.88120243,14.26107704,-0.844912472,464,28.4,100,0,23.4375,0,0.97,22.44865615
9.192,3.907342976,0,21.94563548,22.85153784,14.24165685,-0.840927646,465,28.4,100,0,23.4375,0,0.97,22.45259468
9.292,3.907263241,0,21.91593701,22.86142612,14.28049723,-0.769200788,465,28.4,100,0,23.4375,0,0.97,22.46834846
9.392,3.907342976,0,21.91593701,22.86142612,14.29020732,-0.892730377,465,28.4,100,0,23.4375,0,0.97,22.45653317
9.492,3.907263241,0,21.94563548,22.88120243,14.26107704,-0.888745552,465,28.4,100,0,23.4375,0,0.97,22.46047164
9.592,3.907342976,0,21.94563548,22.86142612,14.23518346,-0.797094566,465,28.4,100,0,23.4375,0,0.97,22.44865615
9.692,3.907303108,0,21.93573607,22.86142612,14.26107704,-0.876791076,465,28.4,100,0,23.4375,0,0.97,22.45259468
9.792,3.907382844,0,21.9555348,22.85153784,14.28049723,-0.840927646,465,28.4,100,0,23.4375,0,0.97,22.46047164
9.892,3.907263241,0,21.94563548,22.89109045,14.26755044,-0.87280625,465,28.4,100,0,23.4375,0,0.97,22.44865615
9.992,3.907303108,0,21.94563548,22.88120243,14.26755044,-0.781155264,465,28.4,100,0,23.4375,0,0.97,22.46047164
10.092,3.907303108,0,21.94563548,22.87131432,14.27402383,-0.824988344,465,28.4,100,0,23.4375,0,0.97,22.45259468
10.192,3.907303108,0,21.91593701,22.88120243,14.23842016,-0.832957995,465,28.4,100,0,23.4375,0,0.97,22.45653317
10.292,3.907303108,0,21.9555348,22.88120243,14.19957978,-0.797094566,465,28.4,100,0,23.4375,0,0.97,22.45259468
10.392,3.907263241,0,21.92583658,22.85153784,14.19634308,-0.836942821,465,28.4,100,0,23.4375,0,0.97,22.45259468
10.492,3.907342976,0,21.96543403,22.87131432,14.1736862,-0.789124915,465,28.4,100,0,23.4375,0,0.97,22.45653317
10.592,3.907342976,0,21.94563548,22.89109045,14.23842016,-0.860851774,464,28.4,100,0,23.4375,0,0.97,22.46441007
10.692,3.907263241,0,21.92583658,22.85153784,14.23518346,-0.805064217,464,28.4,100,0,23.4375,0,0.97,22.44865615
10.792,3.907263241,0,21.93573607,22.87131432,14.25136695,-0.781155264,464,28.4,100,0,23.4375,0,0.968,22.43684037
10.892,3.907263241,0,21.94563548,22.86142612,14.24165685,-0.884760726,464,28.4,100,0,23.4375,0,0.968,22.44471759
10.992,3.907342976,0,21.94563548,22.87131432,14.27402383,-0.777170439,464,28.4,100,0,23.4375,0,0.968,22.44865615
11.092,3.907263241,0,21.92583658,22.87131432,14.20928987,-0.82897317,464,28.4,100,0,23.4375,0,0.968,22.45653317
11.192,3.907303108,0,21.96543403,22.89109045,14.20928987,-0.797094566,464,28.4,100,0,23.4375,0,0.968,22.45259468
11.292,3.907303108,0,21.9555348,22.86142612,14.22871006,-0.805064217,463,28.4,100,0,23.4375,0,0.968,22.45259468
11.392,3.907342976,0,21.96543403,22.88120243,14.25136695,-0.832957995,463,28.4,100,0,23.4375,0,0.968,22.46047164
11.492,3.907263241,0,21.96543403,22.89109045,14.27078713,-0.809049042,463,28.4,100,0,23.4375,0,0.968,22.45653317
11.592,3.907342976,0,21.98523224,22.88120243,14.28373393,-0.821003519,463,28.4,100,0,23.4375,0,0.968,22.45259468
11.692,3.907303108,0,21.9555348,22.87131432,14.23518346,-0.836942821,463,28.4,100,0,23.4375,0,0.968,22.46441007
11.792,3.907263241,0,21.96543403,22.88120243,14.27402383,-0.797094566,463,28.4,100,0,23.4375,0,0.968,22.44471759
11.892,3.907263241,0,21.97533318,22.89109045,14.23842016,-0.836942821,463,28.4,100,0,23.4375,0,0.967,22.44471759
11.992,3.907303108,0,21.98523224,22.89109045,14.22547336,-0.844912472,463,28.4,100,0,23.4375,0,0.967,22.46047164
12.092,3.907303108,0,21.94563548,22.87131432,14.21576327,-0.777170439,463,28.4,100,0,23.4375,0,0.967,22.46047164
12.192,3.907223373,0,21.96543403,22.88120243,14.23194676,-0.773185613,463,28.4,100,0,23.4375,0,0.967,22.45259468
12.292,3.907223373,0,22.0149289,22.89109045,14.22223667,-0.813033868,463,28.4,100,0,23.4375,0,0.967,22.45259468
12.392,4.149460313,0,21.97533318,22.89109045,14.24165685,-0.852882123,463,28.4,100,0,23.4375,0,0.967,22.45259468
12.492,4.96520319,0,21.93573607,22.89109045,14.20281648,-0.773185613,463,28.4,100,0,23.4375,0,0.967,22.46441007
12.592,3.907223373,0,21.9555348,22.89109045,14.23518346,-0.912654505,463,28.4,100,0,23.4375,0,0.967,22.44077899
12.692,3.907303108,0,21.98523224,22.87131432,14.21576327,-0.864836599,463,28.4,100,0,23.4375,0,0.967,22.46047164
12.792,3.907342976,0,21.96543403,22.89109045,14.18339629,-0.733337358,463,28.4,100,0,23.4375,0,0.967,22.45653317
12.892,3.907263241,0,21.9555348,22.89109045,14.20928987,-0.789124915,463,28.4,100,0,23.4375,0,0.967,22.45259468
12.992,3.907342976,0,21.97533318,22.90097839,14.27078713,-0.773185613,463,28.4,100,0,23.4375,0,0.965,22.46441007
13.092,3.907223373,0,21.94563548,22.87131432,14.21899997,-0.844912472,463,28.4,100,0,23.4375,0,0.965,22.44471759
13.192,3.907263241,0,21.98523224,22.89109045,14.24165685,-0.840927646,463,28.4,100,0,23.4375,0,0.965,22.44077899
