Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,,Current Shunt
12.852,4.176331288,0,24.73370878,25.3011269,14.24813025,-0.852882123,479,14,100.2,0,22.78125,0,1.033,,0.852882123
12.952,4.176251552,0,24.71395393,25.31099317,14.26431374,-0.824988344,479,14,100.2,0,22.78125,0,1.033,,0.824988344
13.052,4.17629142,0,24.7238314,25.29126054,14.29020732,-0.864836599,479,14,100.2,0,22.78125,0,1.033,,0.864836599
13.153,4.176251552,0,24.7238314,25.29126054,14.28049723,-0.777170439,479,14,100.2,0,22.78125,0,1.033,,0.777170439
13.253,4.176371156,0,24.71395393,25.3011269,14.26431374,-0.868821425,479,14,100.2,0,22.78125,0,1.033,,0.868821425
13.353,4.17629142,0,24.7238314,25.28139409,14.24813025,-0.773185613,479,14,100.2,0,22.78125,0,1.033,,0.773185613
13.453,4.176331288,0,24.73370878,25.29126054,14.30315411,-0.844912472,479,14,100.2,0,22.78125,0,1.033,,0.844912472
13.558,4.176211684,0,24.7238314,25.3011269,14.28049723,-0.928593807,479,14,100.2,0,22.78125,0,1.033,,0.928593807
13.658,4.17629142,0,24.7238314,25.27152755,14.27078713,-0.809049042,481,14,100.2,0,22.78125,0,1.033,,0.809049042
13.758,4.176371156,0,24.7238314,25.27152755,14.29991742,-0.87280625,481,14,100.2,0,22.78125,0,1.032,,0.87280625
13.858,4.176411024,0,24.73370878,25.27152755,14.26431374,-0.840927646,481,14,100.2,0,22.78125,0,1.032,,0.840927646
13.958,4.17629142,0,24.7238314,25.28139409,14.24165685,-0.821003519,481,14,100.2,0,22.78125,0,1.032,,0.821003519
14.058,4.176251552,0,24.7238314,25.32085935,14.325811,-0.797094566,481,14,100.2,0,22.78125,0,1.032,,0.797094566
14.158,4.17629142,0,24.7238314,25.3011269,14.24165685,-0.821003519,481,14,100.2,0,22.78125,0,1.032,,0.821003519
14.258,4.176371156,0,24.69419872,25.28139409,14.29991742,-0.832957995,481,14,100.2,0,22.78125,0,1.032,,0.832957995
14.358,4.17629142,0,24.70407637,25.28139409,14.31286421,-0.737322184,482,14,100.2,0,22.78125,0,1.032,,0.737322184
14.458,4.176331288,0,24.70407637,25.27152755,14.43262203,-0.848897297,482,14,100.2,0,22.78125,0,1.032,,0.848897297
14.558,4.17629142,0,24.7238314,25.27152755,14.56532665,-0.725367707,482,14,100.2,0,22.78125,0,1.032,,0.725367707
14.658,4.17629142,0,24.71395393,25.28139409,14.58474684,-0.824988344,482,14,100.2,0,22.78125,0,1.032,,0.824988344
14.758,4.176251552,0,24.71395393,25.26166092,14.43585873,-0.689504278,482,14,100.2,0,22.78125,0,1.032,,0.689504278
14.858,4.17629142,0,24.70407637,25.29126054,14.35494128,-0.836942821,482,14,100.2,0,22.78125,0,1.033,,0.836942821
14.958,4.17629142,0,24.71395393,25.29126054,14.27726053,-0.781155264,482,14,100.2,0,22.78125,0,1.033,,0.781155264
15.058,4.176371156,0,24.7238314,25.2517942,14.29020732,-0.868821425,482,14,100.2,0,22.78125,0,1.033,,0.868821425
15.158,4.176251552,0,24.73370878,25.31099317,14.3290477,-0.805064217,482,14,100.2,0,22.78125,0,1.033,,0.805064217
15.258,4.17629142,0,24.7238314,25.27152755,14.24489355,-0.78514009,482,14,100.2,0,22.78125,0,1.033,,0.78514009
15.358,4.17629142,0,24.69419872,25.26166092,14.36788807,-0.781155264,482,14,100.2,0,22.78125,0,1.033,,0.781155264
15.458,4.17629142,0,24.71395393,25.27152755,14.37759817,-0.860851774,482,14,100.2,0,22.78125,0,1.033,,0.860851774
15.558,4.17629142,0,24.71395393,25.28139409,14.45851562,-0.817018693,482,14,100.2,0,22.78125,0,1.033,,0.817018693
15.658,4.176331288,0,24.71395393,25.29126054,14.58474684,-0.773185613,482,14,100.2,0,22.78125,0,1.033,,0.773185613
15.758,4.176251552,0,24.71395393,25.26166092,14.57827344,-0.805064217,482,14,100.2,0,22.78125,0,1.033,,0.805064217
15.858,4.17629142,0,24.71395393,25.3011269,14.34846789,-0.884760726,482,14,100.2,0,22.78125,0,1.033,,0.884760726
15.975,4.17629142,0,24.73370878,25.28139409,14.27402383,-0.836942821,482,14,100.2,0,22.78125,0,1.033,,0.836942821
16.075,4.176331288,0,24.70407637,25.27152755,14.29344402,-0.733337358,482,14,100.2,0,22.78125,0,1.033,,0.733337358
16.175,4.17629142,0,24.71395393,25.27152755,14.28697062,-0.900700028,482,14,100.2,0,22.8125,0,1.033,,0.900700028
16.275,4.176331288,0,24.70407637,25.29126054,14.31286421,-0.848897297,482,14,100.2,0,22.8125,0,1.033,,0.848897297
