# Entropy for lico2	from Ai 2020
# unit: K, mV/K
0.450912106, 	-0.165164656
0.519320066, 	-0.235038471
0.587728027, 	-0.299562966
0.657960199, 	-0.369445652
0.725456053, 	-0.433965712
0.794776119, 	-0.538614535
0.86318408, 	-0.56034448
0.932504146, 	-0.464393844
1, 	-0.507521064
