# d OCP / d Temp data for LG INR18650-MJ1 SiC anode
# sto, dU/dT
       0.384761,   -0.211062
       0.386046,   -0.211548
       0.387331,   -0.212034
       0.388616,   -0.212520
       0.389902,   -0.213006
       0.391187,   -0.213493
       0.392472,   -0.213979
       0.393757,   -0.214465
       0.395042,   -0.214951
       0.396327,   -0.215437
       0.397613,   -0.215923
       0.398898,   -0.216405
       0.400183,   -0.215923
       0.401468,   -0.215416
       0.402753,   -0.214909
       0.404039,   -0.214402
       0.405324,   -0.213895
       0.406609,   -0.213388
       0.407894,   -0.212881
       0.409179,   -0.212374
       0.410464,   -0.211867
       0.411750,   -0.211359
       0.413035,   -0.210852
       0.414320,   -0.210345
       0.415605,   -0.209838
       0.416890,   -0.209331
       0.418176,   -0.208824
       0.419461,   -0.208317
       0.420746,   -0.207810
       0.422031,   -0.207303
       0.423316,   -0.206796
       0.424601,   -0.206288
       0.425887,   -0.205781
       0.427172,   -0.205274
       0.428457,   -0.204767
       0.429742,   -0.204260
       0.431027,   -0.203753
       0.432312,   -0.203246
       0.433598,   -0.202739
       0.434883,   -0.202232
       0.436168,   -0.201724
       0.437453,   -0.201217
       0.438738,   -0.200710
       0.440024,   -0.200203
       0.441309,   -0.199696
       0.442594,   -0.199189
       0.443879,   -0.198682
       0.445164,   -0.198175
       0.446449,   -0.197668
       0.447735,   -0.197160
       0.449020,   -0.196145
       0.450305,   -0.191811
       0.451590,   -0.187477
       0.452875,   -0.183143
       0.454160,   -0.178809
       0.455446,   -0.174475
       0.456731,   -0.170141
       0.458016,   -0.165807
       0.459301,   -0.161473
       0.460586,   -0.157139
       0.461872,   -0.152804
       0.463157,   -0.148470
       0.464442,   -0.144136
       0.465727,   -0.139802
       0.467012,   -0.135468
       0.468297,   -0.131134
       0.469583,   -0.126800
       0.470868,   -0.122466
       0.472153,   -0.118132
       0.473438,   -0.113797
       0.474723,   -0.109463
       0.476008,   -0.105129
       0.477294,   -0.100795
       0.478579,   -0.096461
       0.479864,   -0.092127
       0.481149,   -0.087793
       0.482434,   -0.083459
       0.483720,   -0.079125
       0.485005,   -0.074791
       0.486290,   -0.070456
       0.487575,   -0.066122
       0.488860,   -0.061788
       0.490145,   -0.057454
       0.491431,   -0.053120
       0.492716,   -0.048786
       0.494001,   -0.044452
       0.495286,   -0.040118
       0.496571,   -0.035784
       0.497857,   -0.031450
       0.499142,   -0.028511
       0.500427,   -0.029047
       0.501712,   -0.029584
       0.502997,   -0.030120
       0.504282,   -0.030656
       0.505568,   -0.031193
       0.506853,   -0.031729
       0.508138,   -0.032265
       0.509423,   -0.032802
       0.510708,   -0.033338
       0.511993,   -0.033874
       0.513279,   -0.034411
       0.514564,   -0.034947
       0.515849,   -0.035483
       0.517134,   -0.036020
       0.518419,   -0.036556
       0.519705,   -0.037093
       0.520990,   -0.037629
       0.522275,   -0.038165
       0.523560,   -0.038702
       0.524845,   -0.039238
       0.526130,   -0.039774
       0.527416,   -0.040311
       0.528701,   -0.040847
       0.529986,   -0.041383
       0.531271,   -0.041920
       0.532556,   -0.042456
       0.533841,   -0.042992
       0.535127,   -0.043529
       0.536412,   -0.044065
       0.537697,   -0.044602
       0.538982,   -0.045138
       0.540267,   -0.045674
       0.541553,   -0.046211
       0.542838,   -0.046747
       0.544123,   -0.047283
       0.545408,   -0.047820
       0.546693,   -0.048356
       0.547978,   -0.048892
       0.549264,   -0.049293
       0.550549,   -0.049521
       0.551834,   -0.049748
       0.553119,   -0.049976
       0.554404,   -0.050204
       0.555689,   -0.050432
       0.556975,   -0.050659
       0.558260,   -0.050887
       0.559545,   -0.051115
       0.560830,   -0.051342
       0.562115,   -0.051570
       0.563401,   -0.051798
       0.564686,   -0.052026
       0.565971,   -0.052253
       0.567256,   -0.052481
       0.568541,   -0.052709
       0.569826,   -0.052937
       0.571112,   -0.053164
       0.572397,   -0.053392
       0.573682,   -0.053620
       0.574967,   -0.053847
       0.576252,   -0.054075
       0.577537,   -0.054303
       0.578823,   -0.054531
       0.580108,   -0.054758
       0.581393,   -0.054986
       0.582678,   -0.055214
       0.583963,   -0.055442
       0.585249,   -0.055669
       0.586534,   -0.055897
       0.587819,   -0.056125
       0.589104,   -0.056353
       0.590389,   -0.056580
       0.591674,   -0.056808
       0.592960,   -0.057036
       0.594245,   -0.057263
       0.595530,   -0.057491
       0.596815,   -0.057719
       0.598100,   -0.057947
       0.599386,   -0.058159
       0.600671,   -0.058360
       0.601956,   -0.058561
       0.603241,   -0.058763
       0.604526,   -0.058964
       0.605811,   -0.059165
       0.607097,   -0.059367
       0.608382,   -0.059568
       0.609667,   -0.059769
       0.610952,   -0.059970
       0.612237,   -0.060172
       0.613522,   -0.060373
       0.614808,   -0.060574
       0.616093,   -0.060776
       0.617378,   -0.060977
       0.618663,   -0.061178
       0.619948,   -0.061380
       0.621234,   -0.061581
       0.622519,   -0.061782
       0.623804,   -0.061984
       0.625089,   -0.062185
       0.626374,   -0.062386
       0.627659,   -0.062588
       0.628945,   -0.062789
       0.630230,   -0.062990
       0.631515,   -0.063191
       0.632800,   -0.063393
       0.634085,   -0.063594
       0.635370,   -0.063795
       0.636656,   -0.063997
       0.637941,   -0.064198
       0.639226,   -0.064399
       0.640511,   -0.064601
       0.641796,   -0.064802
       0.643082,   -0.065003
       0.644367,   -0.065205
       0.645652,   -0.065406
       0.646937,   -0.065607
       0.648222,   -0.065809
       0.649507,   -0.066045
       0.650793,   -0.066294
       0.652078,   -0.066543
       0.653363,   -0.066791
       0.654648,   -0.067040
       0.655933,   -0.067289
       0.657218,   -0.067538
       0.658504,   -0.067786
       0.659789,   -0.068035
       0.661074,   -0.068284
       0.662359,   -0.068532
       0.663644,   -0.068781
       0.664930,   -0.069030
       0.666215,   -0.069278
       0.667500,   -0.069527
       0.668785,   -0.069776
       0.670070,   -0.070025
       0.671355,   -0.070273
       0.672641,   -0.070522
       0.673926,   -0.070771
       0.675211,   -0.071019
       0.676496,   -0.071268
       0.677781,   -0.071517
       0.679066,   -0.071765
       0.680352,   -0.072014
       0.681637,   -0.072263
       0.682922,   -0.072511
       0.684207,   -0.072760
       0.685492,   -0.073009
       0.686778,   -0.073258
       0.688063,   -0.073506
       0.689348,   -0.073755
       0.690633,   -0.074004
       0.691918,   -0.074252
       0.693203,   -0.074501
       0.694489,   -0.074750
       0.695774,   -0.074998
       0.697059,   -0.075247
       0.698344,   -0.075496
       0.699629,   -0.075939
       0.700915,   -0.076402
       0.702200,   -0.076866
       0.703485,   -0.077330
       0.704770,   -0.077794
       0.706055,   -0.078258
       0.707340,   -0.078721
       0.708626,   -0.079185
       0.709911,   -0.079649
       0.711196,   -0.080113
#
       0.720000,   -0.080113
       0.730000,   -0.080113
       0.740000,   -0.080113
       0.750000,   -0.080113
       0.760000,   -0.080113
       0.770000,   -0.080113
       0.780000,   -0.080113
       0.790000,   -0.080113
       0.800000,   -0.080113
       0.810000,   -0.080113
       0.820000,   -0.080113
       0.830000,   -0.080113
       0.840000,   -0.080113
       0.850000,   -0.080113
       0.860000,   -0.080113
       0.870000,   -0.080113
       0.880000,   -0.080113
       0.890000,   -0.080113
       0.900000,   -0.080113
       0.910000,   -0.080113
       0.920000,   -0.080113
       0.930000,   -0.080113
       0.940000,   -0.080113
       0.950000,   -0.080113
       0.960000,   -0.080113
       0.970000,   -0.080113
       0.980000,   -0.080113
       0.990000,   -0.080113
       1.000000,   -0.080113
       
