# OCP data for LG INR18650-MJ1 SiC anode
# sto,ocp
    0.207000,     0.139197
    0.208000,     0.138561
    0.209000,     0.137838
    0.210000,     0.137083
    0.211000,     0.136274
    0.212000,     0.135560
    0.213000,     0.134774
    0.214000,     0.133900
    0.215000,     0.133060
    0.216000,     0.132318
    0.217000,     0.131477
    0.218000,     0.130617
    0.219000,     0.129802
    0.220000,     0.129057
    0.221000,     0.128241
    0.222000,     0.127464
    0.223000,     0.126735
    0.224000,     0.126122
    0.225000,     0.125515
    0.226000,     0.124972
    0.227000,     0.124537
    0.228000,     0.124169
    0.229000,     0.123856
    0.230000,     0.123629
    0.231000,     0.123454
    0.232000,     0.123270
    0.233000,     0.123082
    0.234000,     0.122900
    0.235000,     0.122723
    0.236000,     0.122548
    0.237000,     0.122376
    0.238000,     0.122192
    0.239000,     0.121984
    0.240000,     0.121793
    0.241000,     0.121630
    0.242000,     0.121462
    0.243000,     0.121266
    0.244000,     0.121067
    0.245000,     0.120880
    0.246000,     0.120698
    0.247000,     0.120526
    0.248000,     0.120351
    0.249000,     0.120156
    0.250000,     0.119951
    0.251000,     0.119741
    0.252000,     0.119533
    0.253000,     0.119340
    0.254000,     0.119143
    0.255000,     0.118930
    0.256000,     0.118738
    0.257000,     0.118569
    0.258000,     0.118409
    0.259000,     0.118246
    0.260000,     0.118092
    0.261000,     0.117955
    0.262000,     0.117828
    0.263000,     0.117712
    0.264000,     0.117608
    0.265000,     0.117515
    0.266000,     0.117429
    0.267000,     0.117347
    0.268000,     0.117264
    0.269000,     0.117181
    0.270000,     0.117100
    0.271000,     0.117020
    0.272000,     0.116943
    0.273000,     0.116868
    0.274000,     0.116794
    0.275000,     0.116722
    0.276000,     0.116652
    0.277000,     0.116585
    0.278000,     0.116520
    0.279000,     0.116459
    0.280000,     0.116400
    0.281000,     0.116344
    0.282000,     0.116289
    0.283000,     0.116235
    0.284000,     0.116183
    0.285000,     0.116131
    0.286000,     0.116080
    0.287000,     0.116030
    0.288000,     0.115980
    0.289000,     0.115931
    0.290000,     0.115884
    0.291000,     0.115838
    0.292000,     0.115793
