# d OCP / d Temp data for LG INR18650-MJ1 NMC811 cathode
# sto, dU/dT
       0.455700,    0.007948
       0.456700,    0.007532
       0.457700,    0.007111
       0.458700,    0.006684
       0.459700,    0.006251
       0.460700,    0.005814
       0.461700,    0.005373
       0.462700,    0.004926
       0.463700,    0.004476
       0.464700,    0.004022
       0.465700,    0.003565
       0.466700,    0.003105
       0.467700,    0.002643
       0.468700,    0.002180
       0.469700,    0.001716
       0.470700,    0.001252
       0.471700,    0.000790
       0.472700,    0.000330
       0.473700,   -0.000127
       0.474700,   -0.000581
       0.475700,   -0.001030
       0.476700,   -0.001474
       0.477700,   -0.001912
       0.478700,   -0.002342
       0.479700,   -0.002765
       0.480700,   -0.003180
       0.481700,   -0.003585
       0.482700,   -0.003980
       0.483700,   -0.004364
       0.484700,   -0.004735
       0.485700,   -0.005094
       0.486700,   -0.005437
       0.487700,   -0.005764
       0.488700,   -0.006072
       0.489700,   -0.006361
       0.490700,   -0.006630
       0.491700,   -0.006876
       0.492700,   -0.007097
       0.493700,   -0.007294
       0.494700,   -0.007463
       0.495700,   -0.007604
       0.496700,   -0.007716
       0.497700,   -0.007796
       0.498700,   -0.007842
       0.499700,   -0.007855
       0.500700,   -0.007832
       0.501700,   -0.007771
       0.502700,   -0.007673
       0.503700,   -0.007539
       0.504700,   -0.007373
       0.505700,   -0.007177
       0.506700,   -0.006955
       0.507700,   -0.006710
       0.508700,   -0.006444
       0.509700,   -0.006161
       0.510700,   -0.005863
       0.511700,   -0.005554
       0.512700,   -0.005236
       0.513700,   -0.004913
       0.514700,   -0.004588
       0.515700,   -0.004262
       0.516700,   -0.003941
       0.517700,   -0.003626
       0.518700,   -0.003320
       0.519700,   -0.003027
       0.520700,   -0.002749
       0.521700,   -0.002485
       0.522700,   -0.002235
       0.523700,   -0.001996
       0.524700,   -0.001769
       0.525700,   -0.001551
       0.526700,   -0.001341
       0.527700,   -0.001139
       0.528700,   -0.000943
       0.529700,   -0.000751
       0.530700,   -0.000563
       0.531700,   -0.000376
       0.532700,   -0.000191
       0.533700,   -0.000006
       0.534700,    0.000181
       0.535700,    0.000371
       0.536700,    0.000565
       0.537700,    0.000764
       0.538700,    0.000969
       0.539700,    0.001180
       0.540700,    0.001395
       0.541700,    0.001613
       0.542700,    0.001832
       0.543700,    0.002050
       0.544700,    0.002267
       0.545700,    0.002481
       0.546700,    0.002690
       0.547700,    0.002892
       0.548700,    0.003087
       0.549700,    0.003272
       0.550700,    0.003447
       0.551700,    0.003609
       0.552700,    0.003757
       0.553700,    0.003891
       0.554700,    0.004007
       0.555700,    0.004105
       0.556700,    0.004184
       0.557700,    0.004243
       0.558700,    0.004285
       0.559700,    0.004312
       0.560700,    0.004327
       0.561700,    0.004331
       0.562700,    0.004326
       0.563700,    0.004316
       0.564700,    0.004301
       0.565700,    0.004285
       0.566700,    0.004269
       0.567700,    0.004256
       0.568700,    0.004247
       0.569700,    0.004245
       0.570700,    0.004252
       0.571700,    0.004270
       0.572700,    0.004302
       0.573700,    0.004350
       0.574700,    0.004415
       0.575700,    0.004498
       0.576700,    0.004597
       0.577700,    0.004708
       0.578700,    0.004830
       0.579700,    0.004960
       0.580700,    0.005095
       0.581700,    0.005232
       0.582700,    0.005370
       0.583700,    0.005504
       0.584700,    0.005634
       0.585700,    0.005755
       0.586700,    0.005866
       0.587700,    0.005964
       0.588700,    0.006046
       0.589700,    0.006110
       0.590700,    0.006153
       0.591700,    0.006172
       0.592700,    0.006166
       0.593700,    0.006131
       0.594700,    0.006068
       0.595700,    0.005978
       0.596700,    0.005860
       0.597700,    0.005715
       0.598700,    0.005543
       0.599700,    0.005345
       0.600700,    0.005120
       0.601700,    0.004869
       0.602700,    0.004592
       0.603700,    0.004290
       0.604700,    0.003962
       0.605700,    0.003609
       0.606700,    0.003232
       0.607700,    0.002830
       0.608700,    0.002403
       0.609700,    0.001953
       0.610700,    0.001479
       0.611700,    0.000981
       0.612700,    0.000462
       0.613700,   -0.000078
       0.614700,   -0.000636
       0.615700,   -0.001212
       0.616700,   -0.001804
       0.617700,   -0.002409
       0.618700,   -0.003028
       0.619700,   -0.003657
       0.620700,   -0.004296
       0.621700,   -0.004943
       0.622700,   -0.005596
       0.623700,   -0.006255
       0.624700,   -0.006916
       0.625700,   -0.007580
       0.626700,   -0.008244
       0.627700,   -0.008906
       0.628700,   -0.009566
       0.629700,   -0.010221
       0.630700,   -0.010871
       0.631700,   -0.011517
       0.632700,   -0.012156
       0.633700,   -0.012790
       0.634700,   -0.013417
       0.635700,   -0.014038
       0.636700,   -0.014652
       0.637700,   -0.015259
       0.638700,   -0.015858
       0.639700,   -0.016450
       0.640700,   -0.017033
       0.641700,   -0.017608
       0.642700,   -0.018174
       0.643700,   -0.018731
       0.644700,   -0.019278
       0.645700,   -0.019816
       0.646700,   -0.020343
       0.647700,   -0.020861
       0.648700,   -0.021367
       0.649700,   -0.021861
       0.650700,   -0.022343
       0.651700,   -0.022812
       0.652700,   -0.023268
       0.653700,   -0.023709
       0.654700,   -0.024135
       0.655700,   -0.024545
       0.656700,   -0.024938
       0.657700,   -0.025315
       0.658700,   -0.025674
       0.659700,   -0.026014
       0.660700,   -0.026335
       0.661700,   -0.026636
       0.662700,   -0.026916
       0.663700,   -0.027175
       0.664700,   -0.027412
       0.665700,   -0.027627
       0.666700,   -0.027820
       0.667700,   -0.027992
       0.668700,   -0.028147
       0.669700,   -0.028286
       0.670700,   -0.028411
       0.671700,   -0.028525
       0.672700,   -0.028629
       0.673700,   -0.028726
       0.674700,   -0.028818
       0.675700,   -0.028906
       0.676700,   -0.028994
       0.677700,   -0.029082
       0.678700,   -0.029173
       0.679700,   -0.029270
       0.680700,   -0.029374
       0.681700,   -0.029487
       0.682700,   -0.029612
       0.683700,   -0.029750
       0.684700,   -0.029902
       0.685700,   -0.030068
       0.686700,   -0.030245
       0.687700,   -0.030431
       0.688700,   -0.030625
       0.689700,   -0.030825
       0.690700,   -0.031030
       0.691700,   -0.031237
       0.692700,   -0.031445
       0.693700,   -0.031652
       0.694700,   -0.031857
       0.695700,   -0.032058
       0.696700,   -0.032253
       0.697700,   -0.032440
       0.698700,   -0.032618
       0.699700,   -0.032785
       0.700700,   -0.032939
       0.701700,   -0.033078
       0.702700,   -0.033202
       0.703700,   -0.033311
       0.704700,   -0.033406
       0.705700,   -0.033486
       0.706700,   -0.033553
       0.707700,   -0.033608
       0.708700,   -0.033652
       0.709700,   -0.033684
       0.710700,   -0.033705
       0.711700,   -0.033718
       0.712700,   -0.033721
       0.713700,   -0.033716
       0.714700,   -0.033703
       0.715700,   -0.033684
       0.716700,   -0.033658
       0.717700,   -0.033627
       0.718700,   -0.033591
       0.719700,   -0.033551
       0.720700,   -0.033508
       0.721700,   -0.033461
       0.722700,   -0.033412
       0.723700,   -0.033360
       0.724700,   -0.033306
       0.725700,   -0.033249
       0.726700,   -0.033191
       0.727700,   -0.033131
       0.728700,   -0.033069
       0.729700,   -0.033006
       0.730700,   -0.032942
       0.731700,   -0.032878
       0.732700,   -0.032812
       0.733700,   -0.032747
       0.734700,   -0.032681
       0.735700,   -0.032615
       0.736700,   -0.032550
       0.737700,   -0.032486
       0.738700,   -0.032422
       0.739700,   -0.032359
       0.740700,   -0.032297
       0.741700,   -0.032235
       0.742700,   -0.032175
       0.743700,   -0.032116
       0.744700,   -0.032057
       0.745700,   -0.032000
       0.746700,   -0.031943
       0.747700,   -0.031888
       0.748700,   -0.031833
       0.749700,   -0.031780
       0.750700,   -0.031727
       0.751700,   -0.031676
       0.752700,   -0.031625
       0.753700,   -0.031576
       0.754700,   -0.031528
       0.755700,   -0.031480
       0.756700,   -0.031434
       0.757700,   -0.031389
       0.758700,   -0.031345
       0.759700,   -0.031301
       0.760700,   -0.031258
       0.761700,   -0.031214
       0.762700,   -0.031171
       0.763700,   -0.031128
       0.764700,   -0.031084
       0.765700,   -0.031040
       0.766700,   -0.030995
       0.767700,   -0.030949
       0.768700,   -0.030902
       0.769700,   -0.030854
       0.770700,   -0.030804
       0.771700,   -0.030752
       0.772700,   -0.030699
       0.773700,   -0.030643
       0.774700,   -0.030585
       0.775700,   -0.030525
       0.776700,   -0.030463
       0.777700,   -0.030400
       0.778700,   -0.030335
       0.779700,   -0.030271
       0.780700,   -0.030206
       0.781700,   -0.030142
       0.782700,   -0.030079
       0.783700,   -0.030017
       0.784700,   -0.029957
       0.785700,   -0.029899
       0.786700,   -0.029843
       0.787700,   -0.029791
       0.788700,   -0.029743
       0.789700,   -0.029699
       0.790700,   -0.029659
       0.791700,   -0.029624
       0.792700,   -0.029595
       0.793700,   -0.029571
       0.794700,   -0.029552
       0.795700,   -0.029536
       0.796700,   -0.029522
       0.797700,   -0.029510
       0.798700,   -0.029498
       0.799700,   -0.029485
       0.800700,   -0.029470
       0.801700,   -0.029452
       0.802700,   -0.029430
       0.803700,   -0.029402
       0.804700,   -0.029369
       0.805700,   -0.029328
       0.806700,   -0.029279
       0.807700,   -0.029220
       0.808700,   -0.029150
       0.809700,   -0.029069
       0.810700,   -0.028975
       0.811700,   -0.028867
       0.812700,   -0.028747
       0.813700,   -0.028615
       0.814700,   -0.028472
       0.815700,   -0.028319
       0.816700,   -0.028157
       0.817700,   -0.027987
       0.818700,   -0.027810
       0.819700,   -0.027627
       0.820700,   -0.027439
       0.821700,   -0.027248
       0.822700,   -0.027053
       0.823700,   -0.026856
       0.824700,   -0.026658
       0.825700,   -0.026460
       0.826700,   -0.026263
       0.827700,   -0.026069
       0.828700,   -0.025876
       0.829700,   -0.025688
       0.830700,   -0.025503
       0.831700,   -0.025321
       0.832700,   -0.025140
       0.833700,   -0.024959
       0.834700,   -0.024778
       0.835700,   -0.024596
       0.836700,   -0.024411
       0.837700,   -0.024224
       0.838700,   -0.024032
       0.839700,   -0.023835
       0.840700,   -0.023632
       0.841700,   -0.023422
       0.842700,   -0.023204
       0.843700,   -0.022977
       0.844700,   -0.022741
       0.845700,   -0.022494
       0.846700,   -0.022235
       0.847700,   -0.021964
       0.848700,   -0.021681
       0.849700,   -0.021391
       0.850700,   -0.021095
       0.851700,   -0.020796
       0.852700,   -0.020497
       0.853700,   -0.020201
       0.854700,   -0.019911
       0.855700,   -0.019630
       0.856700,   -0.019360
       0.857700,   -0.019104
       0.858700,   -0.018865
       0.859700,   -0.018646
       0.860700,   -0.018450
       0.861700,   -0.018279
       0.862700,   -0.018137
       0.863700,   -0.018025
       0.864700,   -0.017948
       0.865700,   -0.017907
       0.866700,   -0.017903
       0.867700,   -0.017936
       0.868700,   -0.018003
       0.869700,   -0.018103
       0.870700,   -0.018234
       0.871700,   -0.018395
       0.872700,   -0.018585
       0.873700,   -0.018801
       0.874700,   -0.019041
       0.875700,   -0.019306
       0.876700,   -0.019592
       0.877700,   -0.019899
       0.878700,   -0.020224
       0.879700,   -0.020566
       0.880700,   -0.020925
       0.881700,   -0.021297
