x_p,delta_V
0.4474265889,0.0175646857
0.4485488147,0.0184819536
0.4496710404,0.0193841345
0.4507932662,0.0202698883
0.4519154919,0.0211306441
0.4530377176,0.0219527155
0.4541599434,0.0227262108
0.4552821691,0.0234428891
0.4564043948,0.0240927537
0.4575266206,0.0246578743
0.4586488463,0.0251309714
0.459771072,0.0255010552
0.4608932978,0.025756608
0.4620155235,0.0258651291
0.4631377492,0.0258209828
0.464259975,0.025630912
0.4653822007,0.0253151193
0.4665044265,0.0248831192
0.4676266522,0.0243417021
0.4687488779,0.0237007557
0.4698711037,0.0229713249
0.4709933294,0.0221619033
0.4721155551,0.0212820004
0.4732377809,0.0203411234
0.4743600066,0.0193487798
0.4754822323,0.0183144769
0.4766044581,0.017247722
0.4777266838,0.0161716313
0.4788489095,0.0150894811
0.4799711353,0.0140076439
0.481093361,0.0129356272
0.4822155868,0.0118828842
0.4833378125,0.0108783698
0.4844600382,0.0099195785
0.485582264,0.0090155248
0.4867044897,0.0081757159
0.4878267154,0.0074113138
0.4889489412,0.0067384449
0.4900711669,0.0061038838
0.4911933926,0.0054920309
0.4923156184,0.0049011835
0.4934378441,0.0043373633
0.4945600699,0.0037964648
0.4956822956,0.003275223
0.4968045213,0.0027719351
0.4979267471,0.002289764
0.4990489728,0.0018311617
0.5001711985,0.0013898445
0.5012934243,0.0009641099
0.50241565,0.0005527974
0.5035378757,0.0001590543
0.5046601015,-0.0002220837
0.5057823272,-0.0005923192
0.5069045529,-0.0009533549
0.5080267787,-0.0013006669
0.5091490044,-0.0016375469
0.5102712302,-0.0019671796
0.5113934559,-0.0022912675
0.5125156816,-0.0026099016
0.5136379074,-0.0029224153
0.5147601331,-0.0032315018
0.5158823588,-0.0035383454
0.5170045846,-0.0038422909
0.5181268103,-0.0041282875
0.519249036,-0.0043916902
0.5203712618,-0.0046336157
0.5214934875,-0.0048551768
0.5226157132,-0.0050573579
0.523737939,-0.0052412587
0.5248601647,-0.0054080021
0.5259823905,-0.005558679
0.5271046162,-0.0056945598
0.5282268419,-0.0058170382
0.5293490677,-0.0059270802
0.5304712934,-0.0060258388
0.5315935191,-0.0061146419
0.5327157449,-0.0061983753
0.5338379706,-0.0062767607
0.5349601963,-0.0063514085
0.5360824221,-0.0064239301
0.5372046478,-0.0064981237
0.5383268735,-0.0065748129
0.5394490993,-0.0066545695
0.540571325,-0.0067387153
0.5416935508,-0.0068285722
0.5428157765,-0.0069254619
0.5439380022,-0.0070307061
0.545060228,-0.0071472194
0.5461824537,-0.0072869782
0.5473046794,-0.0074603867
0.5484269052,-0.0076553108
0.5495491309,-0.0078685872
0.5506713566,-0.0080969946
0.5517935824,-0.008337312
0.5529158081,-0.0085863178
0.5540380338,-0.0088407909
0.5551602596,-0.0090999482
0.5562824853,-0.0093687564
0.5574047111,-0.009636194
0.5585269368,-0.0098990396
0.5596491625,-0.010154072
0.5607713883,-0.0103980699
0.561893614,-0.010627812
0.5630158397,-0.0108432363
0.5641380655,-0.011042714
0.5652602912,-0.0112200914
0.5663825169,-0.0113721474
0.5675047427,-0.0114956606
0.5686269684,-0.0115874098
0.5697491941,-0.0116449969
0.5708714199,-0.0116659397
0.5719936456,-0.0116460505
0.5731158714,-0.0115829051
0.5742380971,-0.0114804611
0.5753603228,-0.0113422545
0.5764825486,-0.0111762118
0.5776047743,-0.0109820684
0.578727,-0.0107626522
0.5798492258,-0.0105209271
0.5809714515,-0.0102595999
0.5820936772,-0.0099767243
0.583215903,-0.0096786358
0.5843381287,-0.0093682943
0.5854603544,-0.0090486635
0.5865825802,-0.0087224321
0.5877048059,-0.0083908575
0.5888270317,-0.0080581579
0.5899492574,-0.007727297
0.5910714831,-0.0074012386
0.5921937089,-0.0070860113
0.5933159346,-0.0067942382
0.5944381603,-0.0065211003
0.5955603861,-0.0062695612
0.5966826118,-0.0060425847
0.5978048375,-0.0058435664
0.5989270633,-0.0056762368
0.600049289,-0.0055428571
0.6011715147,-0.0054444895
0.6022937405,-0.0053724676
0.6034159662,-0.005333334
0.604538192,-0.0053204918
0.6056604177,-0.0053324222
0.6067826434,-0.0053679044
0.6079048692,-0.0054182409
0.6090270949,-0.0054807679
0.6101493206,-0.0055581087
0.6112715464,-0.0056490035
0.6123937721,-0.0057497049
0.6135159978,-0.0058507913
0.6146382236,-0.005957157
0.6157604493,-0.0060675424
0.616882675,-0.0061806878
0.6180049008,-0.0062974767
0.6191271265,-0.0064162526
0.6202493523,-0.0065358285
0.621371578,-0.0066552362
0.6224938037,-0.0067849515
0.6236160295,-0.0069347777
0.6247382552,-0.0070990034
0.6258604809,-0.0072796334
0.6269827067,-0.0074772839
0.6281049324,-0.0076835319
0.6292271581,-0.0079031497
0.6303493839,-0.0081323049
0.6314716096,-0.0083689662
0.6325938353,-0.008592202
0.6337160611,-0.0088147488
0.6348382868,-0.0090366336
0.6359605126,-0.0092513843
0.6370827383,-0.0094456585
0.638204964,-0.0096345571
0.6393271898,-0.0098203815
0.6404494155,-0.0099956611
0.6415716412,-0.0101470444
0.642693867,-0.0102898194
0.6438160927,-0.0104231721
0.6449383184,-0.0105335765
0.6460605442,-0.010632596
0.6471827699,-0.0107223337
0.6483049956,-0.0107949526
0.6494272214,-0.0108579858
0.6505494471,-0.0109138004
0.6516716729,-0.010976486
0.6527938986,-0.011045195
0.6539161243,-0.0111205635
0.6550383501,-0.0112270984
0.6561605758,-0.0113704325
0.6572828015,-0.0115646513
0.6584050273,-0.0118806301
0.659527253,-0.0123021295
0.6606494787,-0.0127839596
0.6617717045,-0.0132834476
0.6628939302,-0.0137651048
0.6640161559,-0.014281068
0.6651383817,-0.0148238847
0.6662606074,-0.0153601338
0.6673828332,-0.0158893635
0.6685050589,-0.0164043414
0.6696272846,-0.0168533666
0.6707495104,-0.0172666127
0.6718717361,-0.0176176321
0.6729939618,-0.017905927
0.6741161876,-0.0181074806
0.6752384133,-0.0182014017
0.676360639,-0.0181926991
0.6774828648,-0.0180772769
0.6786050905,-0.0179008318
0.6797273162,-0.017756433
0.680849542,-0.0177257599
0.6819717677,-0.017952149
0.6830939935,-0.0182710708
0.6842162192,-0.0185478198
0.6853384449,-0.0187258319
0.6864606707,-0.018927521
0.6875828964,-0.0191593722
0.6887051221,-0.0194192183
0.6898273479,-0.0197063328
0.6909495736,-0.0200160852
0.6920717993,-0.0203429923
0.6931940251,-0.0206829324
0.6943162508,-0.021026397
0.6954384765,-0.0213676549
0.6965607023,-0.0217006769
0.697682928,-0.0220150327
0.6988051538,-0.0223048387
0.6999273795,-0.0225626813
0.7010496052,-0.0227806825
0.702171831,-0.0229515926
0.7032940567,-0.0230697516
0.7044162824,-0.0231317998
0.7055385082,-0.0231301199
0.7066607339,-0.0230395445
0.7077829596,-0.0228333935
0.7089051854,-0.0224988815
0.7100274111,-0.0219355125
0.7111496368,-0.0211398065
0.7122718626,-0.0201014802
0.7133940883,-0.0188509799
0.7145163141,-0.0173888515
0.7156385398,-0.0158245088
0.7167607655,-0.0141579146
0.7178829913,-0.0123847884
0.719005217,-0.0106480287
0.7201274427,-0.0090041358
0.7212496685,-0.0075135207
0.7223718942,-0.0062047799
0.7234941199,-0.0051158635
0.7246163457,-0.004259679
0.7257385714,-0.0036113827
0.7268607971,-0.0031363891
0.7279830229,-0.00278792
0.7291052486,-0.0025138455
0.7302274744,-0.0022418162
0.7313497001,-0.0019551971
0.7324719258,-0.0016306518
0.7335941516,-0.0012191142
0.7347163773,-0.0007232226
0.735838603,-0.0001267216
0.7369608288,0.0005537399
0.7380830545,0.0013100773
0.7392052802,0.002145361
0.740327506,0.0030526971
0.7414497317,0.0039710857
0.7425719574,0.0048058743
0.7436941832,0.005554233
0.7448164089,0.0062151777
0.7459386347,0.0067899316
0.7470608604,0.0073004389
0.7481830861,0.0077184387
0.7493053119,0.0080602392
0.7504275376,0.0083618668
0.7515497633,0.0086034353
0.7526719891,0.0087755249
0.7537942148,0.0089018361
0.7549164405,0.0089825873
0.7560386663,0.0090401646
0.757160892,0.0090694665
0.7582831177,0.0090749268
0.7594053435,0.0090650035
0.7605275692,0.0090439146
0.761649795,0.0090150418
0.7627720207,0.0089893488
0.7638942464,0.0089701344
0.7650164722,0.0089651221
0.7661386979,0.0089837593
0.7672609236,0.0090353421
0.7683831494,0.0091270239
0.7695053751,0.0092102929
0.7706276008,0.0091693626
0.7717498266,0.0090120167
0.7728720523,0.0087618243
0.773994278,0.0084356995
0.7751165038,0.0080480061
0.7762387295,0.0076277005
0.7773609553,0.0071937328
0.778483181,0.0067644658
0.7796054067,0.0063676375
0.7807276325,0.0060578164
0.7818498582,0.0058859144
0.7829720839,0.0058244691
0.7840943097,0.0058357096
0.7852165354,0.0058858682
0.7863387611,0.0059207016
0.7874609869,0.0059067469
0.7885832126,0.0058050763
0.7897054383,0.0055915643
0.7908276641,0.0052288195
0.7919498898,0.0047338147
0.7930721156,0.0041850054
0.7941943413,0.0035877854
0.795316567,0.0029467536
0.7964387928,0.0022646921
0.7975610185,0.0015436135
0.7986832442,0.0007844862
0.79980547,-9.8104e-06
0.8009276957,-0.0008339608
0.8020499214,-0.0016796647
0.8031721472,-0.0025039946
0.8042943729,-0.0032610958
0.8054165986,-0.0039888902
0.8065388244,-0.0047222989
0.8076610501,-0.0054808013
0.8087832759,-0.0063043581
0.8099055016,-0.0072100501
0.8110277273,-0.0082137992
0.8121499531,-0.0093465619
0.8132721788,-0.0105670053
0.8143944045,-0.0120524592
0.8155166303,-0.0139772741
0.816638856,-0.0161482874
0.8177610817,-0.018380696
0.8188833075,-0.0204409198
0.8200055332,-0.0222572123
0.8211277589,-0.0237184037
0.8222499847,-0.0244177026
0.8233722104,-0.0236525172
0.8244944362,-0.0211292495
1.0,0.0
